"Sr. No.","Work category","Work","State","IDA","Hon'ble Members of Parliament","Constituency","Work description","Recommended date","Sanction Date","Sanction Amount ( ₹ )","Work Status"
"7572","Normal/Others","WS/MP18051/2024-2025/149998-Construction of boundary walls of existing public and community buildings","Chhattisgarh","MAHASAMUND(DISTRICT COLLECTOR MAHASAMUND_IDA)","ROOP KUMARI CHOUDHARY","MAHASAMUND","SAMUDAYIK BHAVAN ME AAHATA NIRMAN, NARRA","29-Oct-2024","20-Dec-2024","600000","Work partially Completed"
"7573","Normal/Others","WS/MP18006/2024-2025/150013-Construction of roads, link roads, pathways or any other road with or without drainage system","Andhra Pradesh","CHITTOOR(DISTRICT COLLECTOR CHITTOOR_IDA)","DAGGUMALLA PRASADA RAO","CHITTOOR","Construction of CC road from Nehru House to New Colony, via: Chinnama Reddy House Mangunta GP of SR Puram Mandal, GD Nelloore Constituency.","29-Oct-2024","11-Nov-2024","499781","Physical Inspection"
"7574","Normal/Others","WS/MP18006/2024-2025/150014-Construction of roads, link roads, pathways or any other road with or without drainage system","Andhra Pradesh","CHITTOOR(DISTRICT COLLECTOR CHITTOOR_IDA)","DAGGUMALLA PRASADA RAO","CHITTOOR","Construction of CC road from Kesavulu Chetty House, Via: N.Bhaskar Naidu House to Sathyamma Temple, Ksherasamudram GP in SR Puram Mandal of GD Nelloore Constituency.","29-Oct-2024","11-Nov-2024","492938","Physical Inspection"
"7575","Normal/Others","WS/MP18006/2024-2025/150015-Construction of roads, link roads, pathways or any other road with or without drainage system","Andhra Pradesh","CHITTOOR(DISTRICT COLLECTOR CHITTOOR_IDA)","DAGGUMALLA PRASADA RAO","CHITTOOR","Construction of CC Road from Renuka House to Chandrakala House at Peddamittapalli ST Colony H/o in Nellepalle GP in G.D.Nellore Mandal.","29-Oct-2024","11-Nov-2024","485094","Physical Inspection"
"7576","Normal/Others","WS/MP18188/2025-2026/150032-Construction of roads, link roads, pathways or any other road with or without drainage system","Telangana","VIKARABAD(DISTRICT COLLECTOR VIKARABAD_2)","KONDA VISHWESHWAR REDDY","CHELVELLA","Laying of CC Road from Reddygari Ananthaiah House to Arkathala Mallanna House at Siripuram Village of Marpally Mandal","08-Nov-2024","09-Jun-2025","500000","Work Completed"
"7577","Normal/Others","WS/MP18039/2024-2025/150038-Lighting of public spaces","Bihar","KHAGARIA(DISTRICT PLANNING OFFICER KHAGARIA_IDA)","RAJESH VERMA","KHAGARIA","Supply and installation work of highmask light","30-Oct-2024","28-Mar-2025","997000","Physical Inspection"
"7578","Normal/Others","WS/MP18039/2024-2025/150039-Lighting of public spaces","Bihar","KHAGARIA(DISTRICT PLANNING OFFICER KHAGARIA_IDA)","RAJESH VERMA","KHAGARIA","Supply and installation work of highmask light in Bharat Khand Saudh Dakshini Panchayat Ward No 10, Shiv Mandir Chowk under Parbatta Assembly constituency","30-Oct-2024","28-Mar-2025","997000","Physical Inspection"
"7579","Normal/Others","WS/MP18039/2024-2025/150040-Lighting of public spaces","Bihar","KHAGARIA(DISTRICT PLANNING OFFICER KHAGARIA_IDA)","RAJESH VERMA","KHAGARIA","Supply and installation work of highmask light","30-Oct-2024","28-Mar-2025","997000","Physical Inspection"
"7580","Normal/Others","WS/MP18039/2024-2025/150041-Lighting of public spaces","Bihar","KHAGARIA(DISTRICT PLANNING OFFICER KHAGARIA_IDA)","RAJESH VERMA","KHAGARIA","Supply and installation work of highmask light","30-Oct-2024","28-Mar-2025","997000","Physical Inspection"
"7581","Normal/Others","WS/MP18039/2024-2025/150042-Lighting of public spaces","Bihar","KHAGARIA(DISTRICT PLANNING OFFICER KHAGARIA_IDA)","RAJESH VERMA","KHAGARIA","Supply and installation work of highmask light","30-Oct-2024","28-Mar-2025","997000","Physical Inspection"
"7582","Normal/Others","WS/MP329/2024-2025/150043-Improvement of electricity distribution infrastructure","Haryana","Charkhi Dadri(Deputy Commissioner Charkhi Dadri_IDA)","Shri  Dharambir Singh","BHIWANI MAHENDRAGARH","Shifting of 33 kv line near bala ji mandir of village Pichopa Kalan","30-Oct-2024","27-Dec-2024","41500","Vendor Identification"
"7583","Normal/Others","WS/MP18272/2024-2025/150044-Construction of rooms and halls in school and colleges","West Bengal","Jhargram(DISTRICT MAGISTRATE JHARGRAM_IDA)","KALIPADA SAREN","JHARGRAM(ST)","Construction of Cycle Stand with Kitchen Shed cum Dining Hall at Rani Indira Debi Government Girl’s College at Jhargram under Jhargram Municipality.","14-Nov-2024","31-Dec-2024","2284704","Physical Inspection"
"7584","Normal/Others","WS/MP243/2024-2025/150046-Providing drains and gutters for public drainage","West Bengal","North 24 Parganas(DISTRICT MAGISTRATE NORTH TWENTY FOUR PARGANAS_IDA)","Kakoli Ghosh Dastidar","BARASAT","Madhymgram ward 1 road side draim","30-Oct-2024","02-Jan-2025","600000","Work partially Completed"
"7585","Normal/Others","WS/MP458/2025-2026/150048-Construction of community centers and community halls","Tamil Nadu","Thoothukkudi(DISTRICT COLLECTOR THOOTHUKUDI_IDA)","Kanimozhi Karunanidhi","THOOTHUKKUDI","Construction of Community Hall at Pommaiahpuram Village in Sakkammalpuram Panchayat Vilathikulam Panchayat Union","02-Nov-2024","23-Feb-2026","3999840","Physical Inspection"
"7586","Normal/Others","WS/MP458/2025-2026/150051-Construction of community centers and community halls","Tamil Nadu","Thoothukkudi(DISTRICT COLLECTOR THOOTHUKUDI_IDA)","Kanimozhi Karunanidhi","THOOTHUKKUDI","Construction of Community Hall at Arunthathiyar street in Sivagnanapuram Village and Panchayat in Vilathikulam Panchayat Union","02-Nov-2024","06-Feb-2026","1998754","Physical Inspection"
"7587","Normal/Others","WS/MP458/2025-2026/150052-Construction of community centers and community halls","Tamil Nadu","Thoothukkudi(DISTRICT COLLECTOR THOOTHUKUDI_IDA)","Kanimozhi Karunanidhi","THOOTHUKKUDI","Construction of Community Hall at Arunthathiyar Street in Mettilpatti Village and Panchayat in Pudur panchayat Union","02-Nov-2024","23-Jun-2025","1999892","Physical Inspection"
"7588","Normal/Others","WS/MP18277/2024-2025/150058-Construction of boundary walls of existing public and community buildings","West Bengal","PURBA BARDHAMAN(DISTRICT MAGISTRATE PURBA BARDHAMAN_IDA)","AZAD KIRTI JHA","BARDHAMAN-DURGAPUR","Construction of boundary walls at  Galsi Madrasa near Galsi Railway station Galsi GP","30-Oct-2024","19-Feb-2025","300000","Sanction"
"7589","Normal/Others","WS/MP18277/2024-2025/150063-Construction of additional rooms and halls in the existing public and community building","West Bengal","PURBA BARDHAMAN(DISTRICT MAGISTRATE PURBA BARDHAMAN_IDA)","AZAD KIRTI JHA","BARDHAMAN-DURGAPUR","Construction of Rest room at Kurkuba village Mondal Para & bagd Para,Kurkuba GP","30-Oct-2024","19-Feb-2025","250000","Sanction"
"7590","Normal/Others","WS/MP413/2025-2026/150066-Lighting of public spaces","Bihar","GOPALGANJ(DISTRICT PLANNING OFFICER GOPALGANJ_IDA)","Alok Kumar Suman","GOPALGANJ (SC)","Under the Member of Parliament Local Area Development Scheme, an amount of Rs 49 lakh 90 thousand is recommended from my MP fund for the supply and installation of 5 high mast lights (including electricity) in Gopalganj Municipal Council of Gopalganj district.","30-Oct-2024","11-Aug-2025","995000","Physical Inspection"
"7591","Normal/Others","WS/MP413/2025-2026/150073-Lighting of public spaces","Bihar","GOPALGANJ(DISTRICT PLANNING OFFICER GOPALGANJ_IDA)","Alok Kumar Suman","GOPALGANJ (SC)","Under the Member of Parliament Local Area Development Scheme, an amount of Rs 49 lakh 90 thousand is recommended from my MP fund for the supply and installation of 5 high mast lights (including electricity) in Gopalganj Municipal Council of Gopalganj district.","30-Oct-2024","11-Aug-2025","995000","Physical Inspection"
"7592","Normal/Others","WS/MP458/2026-2027/150074-Construction of water tanks","Tamil Nadu","Thoothukkudi(DISTRICT COLLECTOR THOOTHUKUDI_IDA)","Kanimozhi Karunanidhi","THOOTHUKKUDI","Construction of 100000 litre capacity of OHT at Adithanar colony in Kayamozhi Panchayat in Tiruchendur Union","02-Nov-2024","21-May-2026","3000000","Vendor Identification"
"7593","Normal/Others","WS/MP413/2025-2026/150075-Lighting of public spaces","Bihar","GOPALGANJ(DISTRICT PLANNING OFFICER GOPALGANJ_IDA)","Alok Kumar Suman","GOPALGANJ (SC)","Under the Member of Parliament Local Area Development Scheme, an amount of Rs 49 lakh 90 thousand is recommended from my MP fund for the supply and installation of 5 high mast lights (including electricity) in Gopalganj Municipal Council of Gopalganj district.","30-Oct-2024","11-Aug-2025","995000","Physical Inspection"
"7594","Normal/Others","WS/MP18277/2024-2025/150076-Lighting of public spaces","West Bengal","PASCHIM BARDHAMAN(DISTRICT MAGISTRATE PASCHIM BARDHAMAN_IDA)","AZAD KIRTI JHA","BARDHAMAN-DURGAPUR","Installation of Solar High Mast Lights At  Krishnapur Near Kali Mandir Bidbihar GP","30-Oct-2024","12-Mar-2025","420000","Vendor Identification"
"7595","Normal/Others","WS/MP413/2025-2026/150082-Lighting of public spaces","Bihar","GOPALGANJ(DISTRICT PLANNING OFFICER GOPALGANJ_IDA)","Alok Kumar Suman","GOPALGANJ (SC)","Under the Member of Parliament Local Area Development Scheme, an amount of Rs 49 lakh 90 thousand is recommended from my MP fund for the supply and installation of 5 high mast lights (including electricity) in Gopalganj Municipal Council of Gopalganj district.","30-Oct-2024","11-Aug-2025","995000","Physical Inspection"
"7596","Normal/Others","WS/MP18277/2024-2025/150083-Lighting of public spaces","West Bengal","PASCHIM BARDHAMAN(DISTRICT MAGISTRATE PASCHIM BARDHAMAN_IDA)","AZAD KIRTI JHA","BARDHAMAN-DURGAPUR","Installation of Solar High Mast Lights At Sundiar near Ramkrishna Ashram,Tilakchandrapur GP","30-Oct-2024","12-Mar-2025","420000","Physical Inspection"
"7597","Normal/Others","WS/MP413/2025-2026/150084-Lighting of public spaces","Bihar","GOPALGANJ(DISTRICT PLANNING OFFICER GOPALGANJ_IDA)","Alok Kumar Suman","GOPALGANJ (SC)","Under the Member of Parliament Local Area Development Scheme, an amount of Rs 49 lakh 90 thousand is recommended from my MP fund for the supply and installation of 5 high mast lights (including electricity) in Gopalganj Municipal Council of Gopalganj district.","30-Oct-2024","11-Aug-2025","995000","Physical Inspection"
"7598","Normal/Others","WS/MP18277/2024-2025/150085-Lighting of public spaces","West Bengal","PASCHIM BARDHAMAN(DISTRICT MAGISTRATE PASCHIM BARDHAMAN_IDA)","AZAD KIRTI JHA","BARDHAMAN-DURGAPUR","Installation of Solar High Mast Light At Rajkusum near Hari Mandir Tilakchandrapur GP","30-Oct-2024","12-Mar-2025","420000","Physical Inspection"
"7599","Normal/Others","WS/MP413/2025-2026/150086-Lighting of public spaces","Bihar","GOPALGANJ(DISTRICT PLANNING OFFICER GOPALGANJ_IDA)","Alok Kumar Suman","GOPALGANJ (SC)","Under the Member of Parliament Local Area Development Scheme, an amount of Rs 49 lakh 90 thousand is recommended from my MP fund for the supply and installation of 5 high mast lights (including electricity) in Gopalganj Municipal Council and Barauli Municipal Council of Gopalganj district.","30-Oct-2024","11-Aug-2025","995000","Physical Inspection"
"7600","Normal/Others","WS/MP458/2024-2025/150087-Construction of buildings for crèches and anganwadies","Tamil Nadu","Thoothukkudi(DISTRICT COLLECTOR THOOTHUKUDI_IDA)","Kanimozhi Karunanidhi","THOOTHUKKUDI","Construction of Anganwadi centre at Punnakayal Panchayat in Alwarthirunagari Union","02-Nov-2024","25-Mar-2025","1749114","Physical Inspection"
"7601","Normal/Others","WS/MP413/2025-2026/150089-Lighting of public spaces","Bihar","GOPALGANJ(DISTRICT PLANNING OFFICER GOPALGANJ_IDA)","Alok Kumar Suman","GOPALGANJ (SC)","Under the Member of Parliament Local Area Development Scheme, an amount of Rs 49 lakh 90 thousand is recommended from my MP fund for the supply and installation of 5 high mast lights (including electricity) in Gopalganj Municipal Council and Barauli Municipal Council of Gopalganj district.","30-Oct-2024","13-Aug-2025","995000","Physical Inspection"
"7602","Normal/Others","WS/MP484/2024-2025/150090-Construction of rooms and halls in school and colleges","West Bengal","KOLKATA(COMMISSIONER KOLKATA MUNICIPAL CORPORATION_IDA)","Mala Roy","KOLKATA DAKSHIN","CONSTRUCTION OF PROPOSED G+V STORIED EDUCATIONAL BUILDING FOR USE OF ENGLISH MEDIUM SCHOOL, 17 DEBI CHOWDHURY ROAD, KOLKATA - 700024 UNDER WARD NO. 79","30-Oct-2024","17-Dec-2024","10000000","Vendor Identification"
"7603","Normal/Others","WS/MP413/2025-2026/150091-Lighting of public spaces","Bihar","GOPALGANJ(DISTRICT PLANNING OFFICER GOPALGANJ_IDA)","Alok Kumar Suman","GOPALGANJ (SC)","Under the Member of Parliament Local Area Development Scheme, an amount of Rs 49 lakh 90 thousand is recommended from my MP fund for the supply and installation of 5 high mast lights (including electricity) in Gopalganj Municipal Council and Barauli Municipal Council of Gopalganj district.","30-Oct-2024","11-Aug-2025","995000","Physical Inspection"
"7604","Normal/Others","WS/MP413/2025-2026/150093-Lighting of public spaces","Bihar","GOPALGANJ(DISTRICT PLANNING OFFICER GOPALGANJ_IDA)","Alok Kumar Suman","GOPALGANJ (SC)","Under the Member of Parliament Local Area Development Scheme, an amount of Rs 49 lakh 90 thousand is recommended from my MP fund for the supply and installation of 5 high mast lights (including electricity) in Gopalganj Municipal Council and Barauli Municipal Council of Gopalganj district.","30-Oct-2024","11-Aug-2025","995000","Physical Inspection"
"7605","Normal/Others","WS/MP413/2025-2026/150094-Lighting of public spaces","Bihar","GOPALGANJ(DISTRICT PLANNING OFFICER GOPALGANJ_IDA)","Alok Kumar Suman","GOPALGANJ (SC)","Under the Member of Parliament Local Area Development Scheme, an amount of Rs 49 lakh 90 thousand is recommended from my MP fund for the supply and installation of 5 high mast lights (including electricity) in Gopalganj Municipal Council and Barauli Municipal Council of Gopalganj district.","30-Oct-2024","11-Aug-2025","995000","Physical Inspection"
"7606","Normal/Others","WS/MP18208/2024-2025/150095-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","BASTI(DISTRICT MAGISTRATE BASTI_IDA)","RAM PRASAD CHAUDHARY","BASTI","Construction work of C.C. road in Chandravati Devi Kanya Inter College, Beladi, next to Beladi crossing from Basti Nagar Marg, block Basti Sadar 250 metre","31-Oct-2024","11-Dec-2024","2372980","Physical Inspection"
"7607","Normal/Others","WS/MP18208/2024-2025/150096-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","BASTI(DISTRICT MAGISTRATE BASTI_IDA)","RAM PRASAD CHAUDHARY","BASTI","Construction work of C.C. road from Ram Suresh Yadav's house to Parasnath Dubey's garden in village Panchayat Pakdi Japati, Block Gaur 250 metre","31-Oct-2024","11-Dec-2024","2064410","Physical Inspection"
"7608","Normal/Others","WS/MP18208/2024-2025/150097-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","BASTI(DISTRICT MAGISTRATE BASTI_IDA)","RAM PRASAD CHAUDHARY","BASTI","Construction work of C.C. road from Dubaula Pachpedwa road to Nabi Ullah's shop till Majhowa Chaudhary pitch road, block Gaur 530 metre","31-Oct-2024","11-Dec-2024","4016720","Physical Inspection"
"7609","Normal/Others","WS/MP18208/2024-2025/150098-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","BASTI(DISTRICT MAGISTRATE BASTI_IDA)","RAM PRASAD CHAUDHARY","BASTI","Construction work of pitch road from Rajman's house to Bhagwandin's house in Purva Saraiya of Gram Panchayat Siktihwa, block Dubaulia 500 metre","31-Oct-2024","11-Dec-2024","3574102","Physical Inspection"
"7610","Normal/Others","WS/MP18263/2025-2026/150109-Construction of roads, link roads, pathways or any other road with or without drainage system","Karnataka","UDUPI(DEPUTY COMMISSIONER UDUPI_IDA)","KOTA SRINIVAS POOJARY","UDUPI CHIKMAGALUR","udupi district, karkala taluk, nallur grama panchayath, nalluru neladabettu road development work.","30-Oct-2024","25-Aug-2025","1000000","Physical Inspection"
"7611","Normal/Others","WS/MP18263/2026-2027/150110-Construction of roads, link roads, pathways or any other road with or without drainage system","Karnataka","UDUPI(DEPUTY COMMISSIONER UDUPI_IDA)","KOTA SRINIVAS POOJARY","UDUPI CHIKMAGALUR","udupi district, karkala taluk, kantavara grama panchayath kanthavara village, beladi bhootharajagudde holebadi road development work","30-Oct-2024","29-Jun-2026","300000","Sanction"
"7612","Normal/Others","WS/MP18263/2025-2026/150111-Construction of roads, link roads, pathways or any other road with or without drainage system","Karnataka","UDUPI(DEPUTY COMMISSIONER UDUPI_IDA)","KOTA SRINIVAS POOJARY","UDUPI CHIKMAGALUR","udupi district, karakala taluk, nitte garama panchayath, nitte village, supala former producer road development work","30-Oct-2024","05-Jul-2025","500000","Physical Inspection"
"7613","Normal/Others","WS/MP351/2025-2026/150114-Purchase of vans and buses for educational institutions","Kerala","KANNUR(DISTRICT COLLECTOR KANNUR_IDA)","Shri Kumbakudi Sudhakaran","KANNUR","Purchase of School Bus For NSS Higher Secondary School, Alakode","30-Oct-2024","09-Jun-2025","2541665","Physical Inspection"
"7614","Normal/Others","WS/MP18109/2024-2025/150115-Construction of culverts and bridges","Madhya Pradesh","SIDHI(DISTRICT COLLECTOR SIDHI_IDA)","DR. RAJESH MISHRA","SIDHI","GRAM PANCHAYAT BHATHA ME PANCHAYAT BHAVAN SE YADAV BASTI PRABHU YADAV KE GHAR PAHUCH MARG ME EK 01 PULIYA NIRMAN","30-Oct-2024","28-Jan-2025","500000","Vendor Identification"
"7615","Normal/Others","WS/MP18109/2025-2026/150116-Installing community drinking water plants","Madhya Pradesh","SIDHI(DISTRICT COLLECTOR SIDHI_IDA)","DR. RAJESH MISHRA","SIDHI","SARASWATI HIGHER SECONDARY SCHOOL KARAUNDIYA DIST SIDHI ME 02 NAG PANI KI TANKI NIRMAN","30-Oct-2024","08-Aug-2025","17000","Vendor Identification"
"7616","Normal/Others","WS/MP18109/2025-2026/150117-Setting up of laboratories","Madhya Pradesh","SIDHI(DISTRICT COLLECTOR SIDHI_IDA)","DR. RAJESH MISHRA","SIDHI","SARASWATI HIGHER SECONDARY SCHOOL KARAUNDIYA DIST SIDHI ME PRAYOGIK VGYAN SAMAGRI","30-Oct-2024","08-Aug-2025","35000","Vendor Identification"
"7617","Normal/Others","WS/MP18109/2024-2025/150119-Construction of roads, link roads, pathways or any other road with or without drainage system","Madhya Pradesh","SIDHI(DISTRICT COLLECTOR SIDHI_IDA)","DR. RAJESH MISHRA","SIDHI","GRAM PANCHAYAT KURRWAH KE GRAM MADHURI PAWAI ME MAIN ROAD SE SUSHIL GAUTAM KE GHAR TAK NAVEEN SADAK NIRMAN","30-Oct-2024","28-Jan-2025","998305","Physical Inspection"
"7618","Normal/Others","WS/MP18109/2024-2025/150121-Construction of roads, link roads, pathways or any other road with or without drainage system","Madhya Pradesh","SIDHI(DISTRICT COLLECTOR SIDHI_IDA)","DR. RAJESH MISHRA","SIDHI","GRAM PANCHAYAT KUSHIYARI ME NH39 SE EGS SHALA LAKHIYA TOLA KHUSHIYARI TAK WBM SADAK NIRMAN","30-Oct-2024","28-Jan-2025","1000000","Vendor Identification"
"7619","Normal/Others","WS/MP18109/2024-2025/150122-Construction of roads, link roads, pathways or any other road with or without drainage system","Madhya Pradesh","SIDHI(DISTRICT COLLECTOR SIDHI_IDA)","DR. RAJESH MISHRA","SIDHI","GRAM PANCHAYAT BELAHA ANTARGAT SHIV MANDIR BELAHA SE BHEEMSEN SAHU KE GHAR TAK WBM ROAD NIRMAN","30-Oct-2024","28-Jan-2025","500000","Vendor Identification"
"7620","Normal/Others","WS/MP18109/2024-2025/150123-Construction of culverts and bridges","Madhya Pradesh","SINGRAULI(District Collector Singrauli_IDA)","DR. RAJESH MISHRA","SIDHI","GRAM PANCHAYAT JARAUDHI ME RAVINDRA SHAH KE GHAR KE PAS CULVERTS BRIDGE NIRMAN","30-Oct-2024","17-Dec-2024","300000","Work Completed"
"7621","Normal/Others","WS/MP18109/2024-2025/150124-Construction of roads, link roads, pathways or any other road with or without drainage system","Madhya Pradesh","SINGRAULI(District Collector Singrauli_IDA)","DR. RAJESH MISHRA","SIDHI","GRAM PANCHAYAT JARAUDHI ME PM SADAK SE PANCHAYAT BHAVAN TAK PCC ROAD NIRMAN","30-Oct-2024","17-Dec-2024","1000000","Work Completed"
"7622","Normal/Others","WS/MP18109/2024-2025/150125-Construction of culverts and bridges","Madhya Pradesh","SINGRAULI(District Collector Singrauli_IDA)","DR. RAJESH MISHRA","SIDHI","GRAM PANCHAYAT CHITARWAI KALA ME BALUA NALA ME BRIDGE NIRMAN","30-Oct-2024","17-Dec-2024","1200000","Work Completed"
"7623","Normal/Others","WS/MP18109/2024-2025/150126-Construction of roads, link roads, pathways or any other road with or without drainage system","Madhya Pradesh","SINGRAULI(District Collector Singrauli_IDA)","DR. RAJESH MISHRA","SIDHI","GRAM PANCHAYAT BIHARA ME SANTOSH TIWARI KE GHAR SE RAMASHRAY DUBEY KE GHAR TAK PCC SADAK NIRMAN","30-Oct-2024","07-Jan-2025","2000000","Work Completed"
"7624","Normal/Others","WS/MP18109/2024-2025/150127-Construction of culverts and bridges","Madhya Pradesh","SHAHDOL(District Collector Shahdol_IDA)","DR. RAJESH MISHRA","SIDHI","GRAM PANCHAYAT GAJANI SE DADAR MARG ME JAWAHAR SINGH KE KHET KE PAS 1 NAG BRIDGE NIRMAN","30-Oct-2024","27-Dec-2024","500000","Work partially Completed"
"7625","Normal/Others","WS/MP18248/2024-2025/150128-Construction of community centers and community halls","West Bengal","PURBA BARDHAMAN(DISTRICT MAGISTRATE PURBA BARDHAMAN_IDA)","DR. SHARMILA SARKAR","BARDHAMAN PURBA(SC)","Construction of meeting hall cum training center at Katwa 2 Dev Block office under  Katwa 2 Dev Block , Purba Bardhaman","30-Oct-2024","25-Feb-2025","3000000","Work Completed"
"7626","Normal/Others","WS/MP18248/2024-2025/150129-Construction of rooms and facilities for hospitals, FWC , PHC Centers and ANM centers","West Bengal","PURBA BARDHAMAN(DISTRICT MAGISTRATE PURBA BARDHAMAN_IDA)","DR. SHARMILA SARKAR","BARDHAMAN PURBA(SC)","Construction of proposed ground floor OPD building at Memari rural hospital under Memari -I","30-Oct-2024","10-Mar-2025","2400000","Work partially Completed"
"7627","Normal/Others","WS/MP18109/2024-2025/150130-Construction of common work sheds/ common covered sitting area","Madhya Pradesh","SIDHI(DISTRICT COLLECTOR SIDHI_IDA)","DR. RAJESH MISHRA","SIDHI","AMARWAH ME BUS STAND KE PAS","30-Oct-2024","04-Feb-2025","259942","Physical Inspection"
"7628","Normal/Others","WS/MP18109/2024-2025/150131-Construction of common work sheds/ common covered sitting area","Madhya Pradesh","SIDHI(DISTRICT COLLECTOR SIDHI_IDA)","DR. RAJESH MISHRA","SIDHI","BADHAURA ME BUS STAND KE PAS","30-Oct-2024","04-Feb-2025","259942","Physical Inspection"
"7629","Normal/Others","WS/MP18109/2024-2025/150132-Construction of common work sheds/ common covered sitting area","Madhya Pradesh","SIDHI(DISTRICT COLLECTOR SIDHI_IDA)","DR. RAJESH MISHRA","SIDHI","BAGHAU ME BUS STAND KE PAS","30-Oct-2024","04-Feb-2025","259942","Physical Inspection"
"7630","Normal/Others","WS/MP18109/2024-2025/150133-Construction of common work sheds/ common covered sitting area","Madhya Pradesh","SIDHI(DISTRICT COLLECTOR SIDHI_IDA)","DR. RAJESH MISHRA","SIDHI","BAMHANI BUS STAND KE PAS","30-Oct-2024","04-Feb-2025","259942","Physical Inspection"
"7631","Normal/Others","WS/MP18109/2024-2025/150134-Construction of common work sheds/ common covered sitting area","Madhya Pradesh","SIDHI(DISTRICT COLLECTOR SIDHI_IDA)","DR. RAJESH MISHRA","SIDHI","BANJARI BUS STAND KE PAS","30-Oct-2024","04-Feb-2025","259942","Physical Inspection"
"7632","Normal/Others","WS/MP18109/2024-2025/150135-Construction of common work sheds/ common covered sitting area","Madhya Pradesh","SIDHI(DISTRICT COLLECTOR SIDHI_IDA)","DR. RAJESH MISHRA","SIDHI","BARAMBABA BUS STAND KE PAS","30-Oct-2024","04-Feb-2025","259942","Physical Inspection"
"7633","Normal/Others","WS/MP18109/2024-2025/150136-Construction of common work sheds/ common covered sitting area","Madhya Pradesh","SIDHI(DISTRICT COLLECTOR SIDHI_IDA)","DR. RAJESH MISHRA","SIDHI","BARI BUS STAND KE PAS","30-Oct-2024","04-Feb-2025","259942","Physical Inspection"
"7634","Normal/Others","WS/MP18109/2024-2025/150137-Construction of common work sheds/ common covered sitting area","Madhya Pradesh","SIDHI(DISTRICT COLLECTOR SIDHI_IDA)","DR. RAJESH MISHRA","SIDHI","BARMANI BUS STAND KE PAS","30-Oct-2024","04-Feb-2025","259942","Physical Inspection"
"7635","Normal/Others","WS/MP18109/2024-2025/150138-Construction of common work sheds/ common covered sitting area","Madhya Pradesh","SIDHI(DISTRICT COLLECTOR SIDHI_IDA)","DR. RAJESH MISHRA","SIDHI","BISUNI TOLA BUS STAND KE PAS","30-Oct-2024","04-Feb-2025","259942","Physical Inspection"
"7636","Normal/Others","WS/MP18109/2024-2025/150139-Construction of common work sheds/ common covered sitting area","Madhya Pradesh","SIDHI(DISTRICT COLLECTOR SIDHI_IDA)","DR. RAJESH MISHRA","SIDHI","CHAUPHAL KOTHAR BUS STAND KE PAS","30-Oct-2024","04-Feb-2025","259942","Physical Inspection"
"7637","Normal/Others","WS/MP18109/2024-2025/150140-Construction of common work sheds/ common covered sitting area","Madhya Pradesh","SIDHI(DISTRICT COLLECTOR SIDHI_IDA)","DR. RAJESH MISHRA","SIDHI","CHHUHIYA BUS STAND KE PAS","30-Oct-2024","04-Feb-2025","259942","Physical Inspection"
"7638","Normal/Others","WS/MP18109/2024-2025/150141-Construction of common work sheds/ common covered sitting area","Madhya Pradesh","SIDHI(DISTRICT COLLECTOR SIDHI_IDA)","DR. RAJESH MISHRA","SIDHI","CHULHI BUS STAND KE PAS","30-Oct-2024","04-Feb-2025","259942","Physical Inspection"
"7639","Normal/Others","WS/MP18109/2024-2025/150142-Construction of common work sheds/ common covered sitting area","Madhya Pradesh","SIDHI(DISTRICT COLLECTOR SIDHI_IDA)","DR. RAJESH MISHRA","SIDHI","DEMHA BUS STAND KE PAS","30-Oct-2024","04-Feb-2025","259942","Physical Inspection"
"7640","Normal/Others","WS/MP18109/2024-2025/150143-Construction of common work sheds/ common covered sitting area","Madhya Pradesh","SIDHI(DISTRICT COLLECTOR SIDHI_IDA)","DR. RAJESH MISHRA","SIDHI","DEOGARH BUS STAND KE PAS","30-Oct-2024","04-Feb-2025","259942","Physical Inspection"
"7641","Normal/Others","WS/MP18109/2024-2025/150144-Construction of common work sheds/ common covered sitting area","Madhya Pradesh","SIDHI(DISTRICT COLLECTOR SIDHI_IDA)","DR. RAJESH MISHRA","SIDHI","DHANKHORI BUS STAND KE PAS","30-Oct-2024","04-Feb-2025","259942","Physical Inspection"
"7642","Normal/Others","WS/MP18109/2024-2025/150145-Construction of common work sheds/ common covered sitting area","Madhya Pradesh","SIDHI(DISTRICT COLLECTOR SIDHI_IDA)","DR. RAJESH MISHRA","SIDHI","GHANDHIGRAM BUS STAND KE PAS","30-Oct-2024","04-Feb-2025","259942","Physical Inspection"
"7643","Normal/Others","WS/MP18109/2024-2025/150146-Construction of common work sheds/ common covered sitting area","Madhya Pradesh","SIDHI(DISTRICT COLLECTOR SIDHI_IDA)","DR. RAJESH MISHRA","SIDHI","JHAGARAHA BUS STAND KE PAS","30-Oct-2024","04-Feb-2025","259942","Physical Inspection"
"7644","Normal/Others","WS/MP18109/2024-2025/150147-Construction of common work sheds/ common covered sitting area","Madhya Pradesh","SIDHI(DISTRICT COLLECTOR SIDHI_IDA)","DR. RAJESH MISHRA","SIDHI","KARIMATI BUS STAND KE PAS","30-Oct-2024","04-Feb-2025","259942","Physical Inspection"
