"Sr. No.","Work category","Work","State","IDA","Hon'ble Members of Parliament","Constituency","Work description","Recommended date","Sanction Date","Sanction Amount ( ₹ )","Work Status"
"957","Normal/Others","WS/MP18007/2025-2026/137087-Setting up of laboratories","Andhra Pradesh","Eluru(DISTRICT COLLECTOR ELURU_IDA)","Putta Mahesh Kumar","ELURU","Providing Laboratory equipment to Physical Science/Biological Science/Mathematics and Social Studies.","26-Aug-2024","28-Apr-2025","400000","Physical Inspection"
"958","Normal/Others","WS/MP18007/2025-2026/137088-Setting up of laboratories","Andhra Pradesh","Eluru(DISTRICT COLLECTOR ELURU_IDA)","Putta Mahesh Kumar","ELURU","Providing Laboratory equipment to Physical Science/Biological Science/Mathematics and Social Studies.","26-Aug-2024","28-Apr-2025","400000","Physical Inspection"
"959","Normal/Others","WS/MP18007/2025-2026/137089-Setting up of laboratories","Andhra Pradesh","Eluru(DISTRICT COLLECTOR ELURU_IDA)","Putta Mahesh Kumar","ELURU","Providing Laboratory equipment to Physical Science/Biological Science/Mathematics and Social Studies.","26-Aug-2024","28-Apr-2025","400000","Physical Inspection"
"960","Normal/Others","WS/MP18007/2025-2026/137090-Setting up of laboratories","Andhra Pradesh","Eluru(DISTRICT COLLECTOR ELURU_IDA)","Putta Mahesh Kumar","ELURU","Providing Laboratory equipment to Physical Science/Biological Science/Mathematics and Social Studies.","26-Aug-2024","28-Apr-2025","400000","Physical Inspection"
"961","Normal/Others","WS/MP18007/2025-2026/137091-Setting up of laboratories","Andhra Pradesh","Eluru(DISTRICT COLLECTOR ELURU_IDA)","Putta Mahesh Kumar","ELURU","Providing Laboratory equipment to Physical Science/Biological Science/Mathematics and Social Studies.","26-Aug-2024","28-Apr-2025","400000","Physical Inspection"
"962","Normal/Others","WS/MP18007/2025-2026/137092-Setting up of laboratories","Andhra Pradesh","Eluru(DISTRICT COLLECTOR ELURU_IDA)","Putta Mahesh Kumar","ELURU","Providing Laboratory equipment to Physical Science/Biological Science/Mathematics and Social Studies.","26-Aug-2024","28-Apr-2025","400000","Physical Inspection"
"963","Normal/Others","WS/MP18007/2025-2026/137093-Setting up of laboratories","Andhra Pradesh","Eluru(DISTRICT COLLECTOR ELURU_IDA)","Putta Mahesh Kumar","ELURU","Providing Laboratory equipment to Physical Science/Biological Science/Mathematics and Social Studies.","26-Aug-2024","28-Apr-2025","400000","Physical Inspection"
"964","Normal/Others","WS/MP18007/2025-2026/137094-Setting up of laboratories","Andhra Pradesh","Eluru(DISTRICT COLLECTOR ELURU_IDA)","Putta Mahesh Kumar","ELURU","Providing Laboratory equipment to Physical Science/Biological Science/Mathematics and Social Studies.","26-Aug-2024","28-Apr-2025","400000","Physical Inspection"
"965","Normal/Others","WS/MP18007/2025-2026/137095-Setting up of laboratories","Andhra Pradesh","Eluru(DISTRICT COLLECTOR ELURU_IDA)","Putta Mahesh Kumar","ELURU","Providing Laboratory equipment to Physical Science/Biological Science/Mathematics and Social Studies.","26-Aug-2024","28-Apr-2025","400000","Physical Inspection"
"966","Normal/Others","WS/MP494/2024-2025/137151-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","AGRA(DISTRICT MAGISTRAE AGRA_IDA)","Prof SP Singh Baghel","AGRA(SC)","CC WORK IN RAJEEV NAGAR FROM SONU HOUSE TO TILLU HOUSE","27-Aug-2024","28-Sep-2024","1991220","Physical Inspection"
"967","Normal/Others","WS/MP494/2024-2025/137152-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","AGRA(DISTRICT MAGISTRAE AGRA_IDA)","Prof SP Singh Baghel","AGRA(SC)","CC ROAD IN SHAMSHABAD ROAD NEHARU ENCLAVE FARAHAN NITIN GUPTA HOUSE TO CHHADAMI LAL RATHOR HOUSE","27-Aug-2024","28-Sep-2024","1978059","Physical Inspection"
"968","Normal/Others","WS/MP494/2024-2025/137153-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","AGRA(DISTRICT MAGISTRAE AGRA_IDA)","Prof SP Singh Baghel","AGRA(SC)","CC ROAD IN NAUPURA WARD 59 FROM GURU PRASAD HOUSE TO KHEM CHAND HOUSE AND BAKIL HOUSE TO OM SHANTI ASHRAM","27-Aug-2024","28-Sep-2024","2247147","Physical Inspection"
"969","Normal/Others","WS/MP494/2024-2025/137154-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","AGRA(DISTRICT MAGISTRAE AGRA_IDA)","Prof SP Singh Baghel","AGRA(SC)","CC WORK IN BANS DALEL FROM DIWAN SINGH HOUSE TO NIHAL SINGH HOUSE","27-Aug-2024","28-Sep-2024","1504362","Physical Inspection"
"970","Normal/Others","WS/MP494/2024-2025/137155-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","AGRA(DISTRICT MAGISTRAE AGRA_IDA)","Prof SP Singh Baghel","AGRA(SC)","CC ROAD IN BALAJI DHAM MANDIR TO KRASHANA EMPAYAR","27-Aug-2024","28-Sep-2024","2613400","Physical Inspection"
"971","Normal/Others","WS/MP494/2024-2025/137156-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","AGRA(DISTRICT MAGISTRAE AGRA_IDA)","Prof SP Singh Baghel","AGRA(SC)","IN VILLAGE TEHU PNB TO MUKESH GUPTA HOUSE","27-Aug-2024","28-Sep-2024","968370","Physical Inspection"
"972","Normal/Others","WS/MP494/2024-2025/137197-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","AGRA(DISTRICT MAGISTRAE AGRA_IDA)","Prof SP Singh Baghel","AGRA(SC)","CC WORK IN VILLAGE BARAHAN SAHPHUT FROM PURAN SINGH HOUSE TO BABURAM HOUSE BYA CHHITTO HOUSE","27-Aug-2024","28-Sep-2024","1601792","Physical Inspection"
"973","Normal/Others","WS/MP494/2024-2025/137198-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","AGRA(DISTRICT MAGISTRAE AGRA_IDA)","Prof SP Singh Baghel","AGRA(SC)","CC WORK IN VISHNU BIHAR PRAVESH KUMAR HOUSE TO SUNIL PARMAR HOUSE","27-Aug-2024","28-Sep-2024","445492","Physical Inspection"
"974","Normal/Others","WS/MP494/2024-2025/137199-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","AGRA(DISTRICT MAGISTRAE AGRA_IDA)","Prof SP Singh Baghel","AGRA(SC)","CC WORK FROM PAKKI SADAK TO JOGENDRA BAGHEL IN SHERKHAN MAJARA PACHAS BIGHA","27-Aug-2024","28-Sep-2024","1119362","Physical Inspection"
"975","Normal/Others","WS/MP494/2024-2025/137200-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","AGRA(DISTRICT MAGISTRAE AGRA_IDA)","Prof SP Singh Baghel","AGRA(SC)","CC WORK IN MUSTAFA QUATAR JANATA COLONY FROM GOPAL BABA HOUSE TO JHAMMAN MANDIR","27-Aug-2024","28-Sep-2024","2163229","Physical Inspection"
"976","Normal/Others","WS/MP494/2024-2025/137201-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","AGRA(DISTRICT MAGISTRAE AGRA_IDA)","Prof SP Singh Baghel","AGRA(SC)","CC WORK IN VILLAGE MUKHWAR FROM LEKHRAJ TO OMPRAKASH HOUSE","27-Aug-2024","28-Sep-2024","853504","Physical Inspection"
"977","Normal/Others","WS/MP494/2024-2025/137202-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","AGRA(DISTRICT MAGISTRAE AGRA_IDA)","Prof SP Singh Baghel","AGRA(SC)","CC WORK IN PIPARIYA FROM RAJKUMAR HOUSE TO GAS GODAM","27-Aug-2024","28-Sep-2024","1269794","Physical Inspection"
"978","Normal/Others","WS/MP494/2024-2025/137203-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","AGRA(DISTRICT MAGISTRAE AGRA_IDA)","Prof SP Singh Baghel","AGRA(SC)","CC WORK IN SHASTRI NAGAR Dr RAJENDRA MILAN TO Dr RC GUPTA HOUSE","27-Aug-2024","28-Sep-2024","2391853","Physical Inspection"
"979","Normal/Others","WS/MP494/2024-2025/137205-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","AGRA(DISTRICT MAGISTRAE AGRA_IDA)","Prof SP Singh Baghel","AGRA(SC)","CC WORK IN RASHMI BIHAR SHAMSHABAD ROAD FROM BHANU PRATAP SINGH HOUSE TO BANVARI LAL HOUSE","27-Aug-2024","28-Sep-2024","1157238","Physical Inspection"
"980","Normal/Others","WS/MP494/2024-2025/137206-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","AGRA(DISTRICT MAGISTRAE AGRA_IDA)","Prof SP Singh Baghel","AGRA(SC)","CC WORK IN BURJ KHANJAR ETMADPUR FROM VINOD KUMAR HOUSE TO Dr SUBHASH CHANDRA HOUSE","27-Aug-2024","28-Sep-2024","1287979","Physical Inspection"
"981","Normal/Others","WS/MP494/2024-2025/137207-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","AGRA(DISTRICT MAGISTRAE AGRA_IDA)","Prof SP Singh Baghel","AGRA(SC)","CC WORK IN VILLAGE LAKHANAMAI FROM YADRAM BAGHEL TO SEVARAM BAGHEL HOUSE","27-Aug-2024","28-Sep-2024","554942","Physical Inspection"
"982","Normal/Others","WS/MP494/2024-2025/137208-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","AGRA(DISTRICT MAGISTRAE AGRA_IDA)","Prof SP Singh Baghel","AGRA(SC)","CC WORK IN GADHI BHADAURIYA LOKESH SHARMA TO SUNITA SHARMA HOUSE 180 MEETAR","27-Aug-2024","28-Sep-2024","2076979","Physical Inspection"
