"Sr. No.","State","Work","Work ID","IDA","Hon'ble Members of Parliament","Constituency","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"17965","West Bengal","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18257/2025-2026/192440","Purba Medinipur(DISTRICT MAGISTRATE PURBA MEDINIPUR_IDA)","ABHIJIT GANGOPADHYAY","TAMLUK","09-Jan-2026","KRISHNA SUPPLIERS","Payment Success","797604"
"17966","Karnataka","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18263/2025-2026/173842","CHIKKAMAGALURU(DEPUTY COMMISSIONER CHIKMAGALUR)","KOTA SRINIVAS POOJARY","UDUPI CHIKMAGALUR","12-Jan-2026","K P SHRINIDHI","Payment Success","147067"
"17967","Karnataka","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18263/2025-2026/173832","CHIKKAMAGALURU(DEPUTY COMMISSIONER CHIKMAGALUR)","KOTA SRINIVAS POOJARY","UDUPI CHIKMAGALUR","12-Jan-2026","K P SHRINIDHI","Payment Success","198635"
"17968","Karnataka","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18263/2025-2026/173613","CHIKKAMAGALURU(DEPUTY COMMISSIONER CHIKMAGALUR)","KOTA SRINIVAS POOJARY","UDUPI CHIKMAGALUR","12-Jan-2026","J D LOKESH","Payment Success","398638"
"17969","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18161/2024-2025/138107","BHARATPUR(DISTRICT COLLECTOR BHARATPUR_IDA)","SANJNA JATAV","BHARATPUR(SC)","05-Jan-2026","Lalsingh","Payment Success","3276"
"17970","Uttar Pradesh","Lighting of public spaces","WS/MP18235/2025-2026/254507","RAMPUR(DISTRICT MAGISTRATE RAMPUR_IDA)","MOHIBBULLAH","RAMPUR","16-Apr-2026","MR CONSTRUCTION","Payment Success","174129"
"17971","Uttar Pradesh","Lighting of public spaces","WS/MP18235/2025-2026/254505","RAMPUR(DISTRICT MAGISTRATE RAMPUR_IDA)","MOHIBBULLAH","RAMPUR","16-Apr-2026","MR CONSTRUCTION","Payment Success","174129"
"17972","Uttar Pradesh","Lighting of public spaces","WS/MP18235/2025-2026/254503","RAMPUR(DISTRICT MAGISTRATE RAMPUR_IDA)","MOHIBBULLAH","RAMPUR","16-Apr-2026","MR CONSTRUCTION","Payment Success","174129"
"17973","Uttar Pradesh","Lighting of public spaces","WS/MP18235/2025-2026/254508","RAMPUR(DISTRICT MAGISTRATE RAMPUR_IDA)","MOHIBBULLAH","RAMPUR","16-Apr-2026","MR CONSTRUCTION","Payment Success","174129"
"17974","Uttar Pradesh","Lighting of public spaces","WS/MP18235/2025-2026/254504","RAMPUR(DISTRICT MAGISTRATE RAMPUR_IDA)","MOHIBBULLAH","RAMPUR","16-Apr-2026","MR CONSTRUCTION","Payment Success","174129"
"17975","Uttar Pradesh","Lighting of public spaces","WS/MP18235/2025-2026/254516","RAMPUR(DISTRICT MAGISTRATE RAMPUR_IDA)","MOHIBBULLAH","RAMPUR","16-Apr-2026","MR CONSTRUCTION","Payment Success","174129"
"17976","Uttar Pradesh","Lighting of public spaces","WS/MP18235/2025-2026/254512","RAMPUR(DISTRICT MAGISTRATE RAMPUR_IDA)","MOHIBBULLAH","RAMPUR","16-Apr-2026","MR CONSTRUCTION","Payment Success","174129"
"17977","Uttar Pradesh","Lighting of public spaces","WS/MP18235/2025-2026/254511","RAMPUR(DISTRICT MAGISTRATE RAMPUR_IDA)","MOHIBBULLAH","RAMPUR","16-Apr-2026","MR CONSTRUCTION","Payment Success","174129"
"17978","Uttar Pradesh","Lighting of public spaces","WS/MP18235/2025-2026/254509","RAMPUR(DISTRICT MAGISTRATE RAMPUR_IDA)","MOHIBBULLAH","RAMPUR","16-Apr-2026","MR CONSTRUCTION","Payment Success","174129"
"17979","Uttar Pradesh","Lighting of public spaces","WS/MP18235/2025-2026/254506","RAMPUR(DISTRICT MAGISTRATE RAMPUR_IDA)","MOHIBBULLAH","RAMPUR","16-Apr-2026","MR CONSTRUCTION","Payment Success","174129"
"17980","Uttar Pradesh","Lighting of public spaces","WS/MP18235/2025-2026/254515","RAMPUR(DISTRICT MAGISTRATE RAMPUR_IDA)","MOHIBBULLAH","RAMPUR","16-Apr-2026","MR CONSTRUCTION","Payment Success","174129"
"17981","Uttar Pradesh","Lighting of public spaces","WS/MP18235/2025-2026/254524","RAMPUR(DISTRICT MAGISTRATE RAMPUR_IDA)","MOHIBBULLAH","RAMPUR","16-Apr-2026","MR CONSTRUCTION","Payment Success","174129"
"17982","Uttar Pradesh","Lighting of public spaces","WS/MP18235/2025-2026/254523","RAMPUR(DISTRICT MAGISTRATE RAMPUR_IDA)","MOHIBBULLAH","RAMPUR","16-Apr-2026","MR CONSTRUCTION","Payment Success","174129"
"17983","Uttar Pradesh","Lighting of public spaces","WS/MP18235/2025-2026/254513","RAMPUR(DISTRICT MAGISTRATE RAMPUR_IDA)","MOHIBBULLAH","RAMPUR","16-Apr-2026","MR CONSTRUCTION","Payment Success","174129"
"17984","Uttar Pradesh","Lighting of public spaces","WS/MP18235/2025-2026/254514","RAMPUR(DISTRICT MAGISTRATE RAMPUR_IDA)","MOHIBBULLAH","RAMPUR","16-Apr-2026","MR CONSTRUCTION","Payment Success","174129"
"17985","Uttar Pradesh","Lighting of public spaces","WS/MP18235/2025-2026/254517","RAMPUR(DISTRICT MAGISTRATE RAMPUR_IDA)","MOHIBBULLAH","RAMPUR","16-Apr-2026","MR CONSTRUCTION","Payment Success","174129"
"17986","Uttar Pradesh","Lighting of public spaces","WS/MP18235/2025-2026/254510","RAMPUR(DISTRICT MAGISTRATE RAMPUR_IDA)","MOHIBBULLAH","RAMPUR","16-Apr-2026","MR CONSTRUCTION","Payment Success","174129"
"17987","Uttar Pradesh","Lighting of public spaces","WS/MP18235/2025-2026/254519","RAMPUR(DISTRICT MAGISTRATE RAMPUR_IDA)","MOHIBBULLAH","RAMPUR","16-Apr-2026","MR CONSTRUCTION","Payment Success","174129"
"17988","Uttar Pradesh","Lighting of public spaces","WS/MP18235/2025-2026/254522","RAMPUR(DISTRICT MAGISTRATE RAMPUR_IDA)","MOHIBBULLAH","RAMPUR","16-Apr-2026","MR CONSTRUCTION","Payment Success","174129"
