"Sr. No.","State","Work","Work ID","IDA","Hon'ble Members of Parliament","Constituency","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"11532","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18156/2025-2026/213119","JALANDHAR(DEPUTY COMMISSIONER JALANDHAR_IDA)","CHARANJIT SINGH CHANNI","JALANDHAR(SC)","24-Mar-2026","SHRI GURU ARJAN DEV JI","Payment Success","34410"
"11533","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18156/2025-2026/213119","JALANDHAR(DEPUTY COMMISSIONER JALANDHAR_IDA)","CHARANJIT SINGH CHANNI","JALANDHAR(SC)","24-Mar-2026","SHRI GURU ARJAN DEV JI","Payment Success","22500"
"11534","Punjab","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP18156/2025-2026/213124","JALANDHAR(DEPUTY COMMISSIONER JALANDHAR_IDA)","CHARANJIT SINGH CHANNI","JALANDHAR(SC)","16-Jul-2026","SHRI GURU ARJAN DEV JI","Payment Success","34410"
"11535","Uttarakhand","Construction of toilet blocks","WS/MP021/2025-2026/203235","NAINITAL(DISTRICT MAGISTRATE NAINITAL_IDA)","Ajay Bhatt","NAINITAL UDHAM SINGH NAG.","13-Mar-2026","BHUWAN CHANDRA","Payment Success","17934"
"11536","Uttarakhand","Construction of toilet blocks","WS/MP021/2025-2026/203235","NAINITAL(DISTRICT MAGISTRATE NAINITAL_IDA)","Ajay Bhatt","NAINITAL UDHAM SINGH NAG.","13-Mar-2026","VIVEK JOSHI","Payment Success","17934"
"11537","Gujarat","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP588/2025-2026/248526","DEVBHUMI DWARKA(DISTRICT COLLECTOR DEVBHUMI DWARKA_IDA)","Smt Poonamben Hematbhai Maadam","JAMNAGAR","16-Mar-2026","SANKHALA GP","Payment Success","449323"
"11538","Uttarakhand","Construction of toilet blocks","WS/MP021/2025-2026/203235","NAINITAL(DISTRICT MAGISTRATE NAINITAL_IDA)","Ajay Bhatt","NAINITAL UDHAM SINGH NAG.","13-Mar-2026","RIYAS ALI","Payment Success","19190"
"11539","Punjab","Providing drains and gutters for public drainage","WS/MP380/2025-2026/209161","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","Shri Amar Singh","FATEHGARH SAHIB(SC)","06-Apr-2026","Baljit Kaur","Payment Success","27828"
"11540","Punjab","Providing drains and gutters for public drainage","WS/MP380/2025-2026/209161","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","Shri Amar Singh","FATEHGARH SAHIB(SC)","06-Apr-2026","cheema paint bulding gujjarwal","Payment Success","31200"
"11541","Punjab","Providing drains and gutters for public drainage","WS/MP380/2025-2026/209161","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","Shri Amar Singh","FATEHGARH SAHIB(SC)","06-Apr-2026","cheema paint bulding gujjarwal","Payment Success","33998"
"11542","Mizoram","Construction of community centers and community halls","WS/MP18138/2025-2026/217435","LAWNGTLAI(DSC Lawngtlai)","RICHARD VANLALHMANGAIHA","MIZORAM (ST)","17-Mar-2026","H Liantluanga","Payment Success","250000"
"11543","Mizoram","Construction of community centers and community halls","WS/MP18138/2025-2026/217435","LAWNGTLAI(DSC Lawngtlai)","RICHARD VANLALHMANGAIHA","MIZORAM (ST)","16-Jul-2026","H Liantluanga","Payment Success","250000"
"11544","Gujarat","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18054/2025-2026/236395","MAHESANA(DISTRICT COLLECTOR MAHESANA_IDA)","HARIBHAI PATEL","MAHESANA","18-Mar-2026","AKHAJ GRAM PANCHAYAT","Payment Success","400000"
"11545","Assam","Construction of bus-sheds or bus-stops","WS/MP541/2025-2026/249802","MARIGAON(District Development Commissioner Morigaon)","Pradyut Bordoloi","NOWGONG","13-May-2026","MOHD IKRAMUL HUSSAIN","Payment Success","61250"
"11546","Assam","Construction of boundary walls of existing public and community buildings","WS/MP541/2025-2026/216529","MARIGAON(District Development Commissioner Morigaon)","Pradyut Bordoloi","NOWGONG","13-May-2026","Oli Ullah Khan","Payment Success","99750"
"11547","Chhattisgarh","Construction of buildings for community cultural activities","WS/MP429/2025-2026/267261","KORBA(Collector-Korba)","Jyotsna Charandas Mahant","KORBA","19-Mar-2026","MUKHYA K J P PONDI UPRORA","Payment Success","150000"
"11548","Chhattisgarh","Construction of buildings for community cultural activities","WS/MP429/2025-2026/267260","KORBA(Collector-Korba)","Jyotsna Charandas Mahant","KORBA","19-Mar-2026","MUKHYA K J P PONDI UPRORA","Payment Success","150000"
"11549","Telangana","Construction of common work sheds/ common covered sitting area","WS/MP18187/2025-2026/261998","Nirmal(DISTRICT COLLECTOR NIRMAL_3)","GODAM NAGESH","ADILABAD(ST)","16-Mar-2026","Karipe Vilas","Payment Success","240305"
"11550","Gujarat","Construction of common work sheds/ common covered sitting area","WS/MP584/2025-2026/216853","KACHCHH(DISTRICT COLLECTOR KUTCH_IDA)","Vinod Chavda","KACHCHH(SC)","17-Mar-2026","Rampar Abada","Payment Success","400000"
"11551","Telangana","Construction of community centers and community halls","WS/MP18187/2025-2026/189983","Nirmal(DISTRICT COLLECTOR NIRMAL_3)","GODAM NAGESH","ADILABAD(ST)","16-Mar-2026","Manthena GangaReddy","Payment Success","492443"
"11552","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18216/2025-2026/187450","FATEHPUR(DISTRICT MAGISTRATE FATEHPUR_IDA)","NARESH CHANDRA UTTAM PATEL","FATEHPUR","24-Jun-2026","MS S K CONSTRUCTION AND SUPPLIRE","Payment Success","541800"
"11553","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18216/2025-2026/187454","FATEHPUR(DISTRICT MAGISTRATE FATEHPUR_IDA)","NARESH CHANDRA UTTAM PATEL","FATEHPUR","19-Jun-2026","MS S K CONSTRUCTION AND SUPPLIRE","Payment Success","841200"
"11554","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18216/2025-2026/166405","FATEHPUR(DISTRICT MAGISTRATE FATEHPUR_IDA)","NARESH CHANDRA UTTAM PATEL","FATEHPUR","17-Mar-2026","MS PREM  CHANDRA","Payment Success","276568"
"11555","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18216/2025-2026/166404","FATEHPUR(DISTRICT MAGISTRATE FATEHPUR_IDA)","NARESH CHANDRA UTTAM PATEL","FATEHPUR","17-Mar-2026","MS PREM  CHANDRA","Payment Success","173519"
"11556","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18216/2025-2026/166416","FATEHPUR(DISTRICT MAGISTRATE FATEHPUR_IDA)","NARESH CHANDRA UTTAM PATEL","FATEHPUR","17-Mar-2026","MS PREM  CHANDRA","Payment Success","379155"
"11557","Maharashtra","Construction of community centers and community halls","WS/MP18127/2026-2027/188392","NASHIK(DISTRICT COLLECTOR NASHIK_IDA)","RAJABHAU","NASHIK","11-May-2026","SHRIKANT DATTATRAY GOLESAR","Payment Success","2788673"
"11558","Gujarat","Construction of boundary walls of existing public and community buildings","WS/MP18321/2024-2025/163333","SABAR KANTHA(DISTRICT COLLECTOR SABARKANTHA_IDA)","SHOBHANABEN MAHENDRASINH BARAIYA","SABARKANTHA","24-Aug-2026","GHADKAN GRAM PANCHAYAT","Payment Success","400000"
"11559","Maharashtra","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18123/2025-2026/186340","KOLHAPUR(DISTRICT COLLECTOR KOLHAPUR_IDA)","CHHATRAPATI SHAHU SHAHAJI","KOLHAPUR","13-Mar-2026","AKSHAY VILAS KALMAKAR","Payment Success","999000"
"11560","Odisha","Construction of community centers and community halls","WS/MP370/2025-2026/184872","Sundaragada(DISTRICT COLLECTOR SUNDARGARH_IDA)","Shri Jual Oram","SUNDARGARH (ST)","13-Mar-2026","SUMANTI KULLU","Payment Success","403403"
"11561","Odisha","Construction of community centers and community halls","WS/MP370/2024-2025/145558","Sundaragada(DISTRICT COLLECTOR SUNDARGARH_IDA)","Shri Jual Oram","SUNDARGARH (ST)","13-Mar-2026","SUMANTI KULLU","Payment Success","407029"
"11562","Odisha","Construction of community centers and community halls","WS/MP370/2025-2026/184874","Sundaragada(DISTRICT COLLECTOR SUNDARGARH_IDA)","Shri Jual Oram","SUNDARGARH (ST)","13-May-2026","SUMANTI KULLU","Payment Success","754190"
"11563","Chandigarh","Purchase of IT systems, including hardware and software for educational purposes","WS/MP18047/2025-2026/256848","CHANDIGARH(DEPUTY COMMISSIONER ZILLA PARISHAD CHANDIGARH_IDA)","MANISH TEWARI","CHANDIGARH","19-Mar-2026","M M Technologies","Payment Success","26000"
"11564","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18162/2025-2026/251136","BUNDI(DISTRICT COLLECTOR BUNDI_IDA)","DAMODAR AGARWAL","BHILWARA","16-Mar-2026","BRIGHT CONTSTRUCTION","Payment Success","388780"
"11565","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18162/2025-2026/251136","BUNDI(DISTRICT COLLECTOR BUNDI_IDA)","DAMODAR AGARWAL","BHILWARA","20-Mar-2026","BRIGHT CONTSTRUCTION","Payment Success","28700"
"11566","Kerala","Purchase of furniture and fixtures for educational purposes","WS/MP353/2025-2026/210745","IDUKKI(DISTRICT COLLECTOR IDUKKI_IDA)","Adv Dean Kuriakose","IDUKKI","16-Mar-2026","KERALA SMALL INDUSTRIES DEVELOPMENT CORPORATION","Payment Success","500000"
"11567","Arunachal Pradesh","Providing drains and gutters for public drainage","WS/MP533/2025-2026/260052","LOWER SUBANSIRI(Deputy Commissioner Lower Subansir_IDA)","Kiren Rijiju","ARUNACHAL WEST","20-Mar-2026","MS DRR HARDWARE","Payment Success","300440"
"11568","Haryana","Construction of common work sheds/ common covered sitting area","WS/MP18065/2025-2026/227010","JHAJJAR(DEPUTY COMMISSIONER cum NODAL OFFICER MPLADS JHAJJAR)","DEEPENDER SINGH HOODA","ROHTAK","13-May-2026","THE BABA CHANDAN DAS COOPERATIVE LC SOCIETY LIMITED BITHLA","Payment Success","488044"
"11569","Maharashtra","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18119/2025-2026/163575","GADCHIROLI(DISTRICT COLLECTOR GADCHIROLI_IDA)","DR. KIRSAN NAMDEO","GADCHIROLI-CHIMUR(ST)","18-Mar-2026","ASAD SAYEED KHAN","Payment Success","992900"
"11570","Gujarat","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18054/2025-2026/178182","MAHESANA(DISTRICT COLLECTOR MAHESANA_IDA)","HARIBHAI PATEL","MAHESANA","18-Mar-2026","DHOLASAN GRAM PANCHAYAT","Payment Success","194432"
"11571","Arunachal Pradesh","Construction of flood control embankments/ protection walls along riverbanks, hilltops, roadsides","WS/MP533/2025-2026/260070","LOWER SUBANSIRI(Deputy Commissioner Lower Subansir_IDA)","Kiren Rijiju","ARUNACHAL WEST","20-Mar-2026","AN Enterprise","Payment Success","307020"
"11572","Madhya Pradesh","Improvement of electricity distribution infrastructure","WS/MP18107/2025-2026/258140","JHABUA(DISTRICT COLLECTOR JHABUA_IDA)","ANITA NAGARSINGH CHOUHAN","RATLAM(ST)","16-Mar-2026","Gram Panchayat Bawadi Badi","Payment Success","205792"
"11573","Tamil Nadu","Construction of water tanks","WS/MP18180/2025-2026/231219","KARUR(DISTRICT COLLECTOR KARUR_IDA)","ARUN NEHRU","PERAMBALUR","17-Mar-2026","PALANISAMY R","Payment Success","1799478"
"11574","Gujarat","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18054/2025-2026/236359","MAHESANA(DISTRICT COLLECTOR MAHESANA_IDA)","HARIBHAI PATEL","MAHESANA","21-Mar-2026","RANGPUR GRAM PANCHAYAT","Payment Success","110000"
"11575","Gujarat","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18054/2025-2026/236360","MAHESANA(DISTRICT COLLECTOR MAHESANA_IDA)","HARIBHAI PATEL","MAHESANA","21-Mar-2026","RANGPUR GRAM PANCHAYAT","Payment Success","110000"
"11576","Andhra Pradesh","Development of playground","WS/MP18006/2025-2026/252578","CHITTOOR(DISTRICT COLLECTOR CHITTOOR_IDA)","DAGGUMALLA PRASADA RAO","CHITTOOR","26-Mar-2026","RAMESH T","Payment Success","479107"
"11577","Arunachal Pradesh","Construction of flood control embankments/ protection walls along riverbanks, hilltops, roadsides","WS/MP533/2025-2026/260049","PAPUM PARE(DEPUTY COMMISSIONER PAPUM PARE_IDA)","Kiren Rijiju","ARUNACHAL WEST","23-Mar-2026","Taba Tapang","Payment Success","494000"
"11578","Odisha","Construction of community centers and community halls","WS/MP18149/2025-2026/185012","PURI(DISTRICT COLLECTOR PURI_IDA)","SAMBIT PATRA","PURI","18-Mar-2026","SUBRAT MANGARAJ","Payment Success","250000"
"11579","Odisha","Construction of community centers and community halls","WS/MP18149/2025-2026/185024","PURI(DISTRICT COLLECTOR PURI_IDA)","SAMBIT PATRA","PURI","19-Mar-2026","SUBRAT MANGARAJ","Payment Success","250000"
"11580","Karnataka","Construction of community centers and community halls","WS/MP18084/2026-2027/169444","Vijayanagara(DEPUTY COMMISSIONER VIJAYANAGARA_IDA)","DR. PRABHA MALLIKARJUN","DAVANAGERE","27-Jul-2026","H T SUBHAS","Payment Success","750000"
"11581","Andhra Pradesh","Purchase of hospital equipment","WS/MP18003/2025-2026/223847","Ananthapuramu(DISTRICT COLLECTOR ANANTAPUR_IDA)","AMBICA G LAKSHMINARAYANA VALMIKI","ANANTAPUR","15-Apr-2026","Managing Director APMSIDC","Payment Success","4515226"
"11582","Tamil Nadu","Installing tube-wells and borewells","WS/MP751/2025-2026/262380","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","S Venkatesan","MADURAI","16-Mar-2026","AVS and Construction","Payment Success","299700"
"11583","Tamil Nadu","Development of playground","WS/MP751/2025-2026/262389","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","S Venkatesan","MADURAI","16-Mar-2026","AVS and Construction","Payment Success","547946"
"11584","Haryana","Construction of community centers and community halls","WS/MP18062/2025-2026/207900","HISAR(DEPUTY COMMISSIONER HISSAR_IDA)","JAI PARKASH","HISAR","17-Mar-2026","The AD Group Co Operative Labour and Construction Society L","Payment Success","1641554"
"11585","Madhya Pradesh","Construction of common work sheds/ common covered sitting area","WS/MP18104/2025-2026/253474","NARMADAPURAM(DISTRICT COLLECTOR NARMADAPURAM_IDA)","DARSHAN SINGH CHOUDHARY","HOSHANGABAD","23-Mar-2026","sachiv gram panchayat Dolariya","Payment Success","150000"
"11586","Andhra Pradesh","Providing drains and gutters for public drainage","WS/MP529/2025-2026/249472","Tirupati(DISTRICT COLLECTOR TIRUPATI_IDA)","Maddila Gurumoorthy","TIRUPATI(SC)","05-May-2026","Raveendra Reddy Gottikadu","Payment Success","499158"
"11587","Maharashtra","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18123/2025-2026/224468","KOLHAPUR(DISTRICT COLLECTOR KOLHAPUR_IDA)","CHHATRAPATI SHAHU SHAHAJI","KOLHAPUR","17-Mar-2026","SUSHANT DINKAR PATIL","Payment Success","999000"
"11588","Maharashtra","Construction of common work sheds/ common covered sitting area","WS/MP18307/2025-2026/178219","MUMBAI SUBURBAN(DISTRICT COLLECTOR MUMBAI SUBURBAN_IDA)","Piyush Vedprakash Goyal","MUMBAI NORTH","20-Mar-2026","Sharvari Shrikarishana Deshpande","Payment Success","999241"
"11589","Meghalaya","Providing supply pipelines for drinking water","WS/MP18137/2025-2026/232376","EAST KHASI HILLS(Deputy Commissioner, East Khasi Hills District)","ANDREW J. SYNGKON","SHILLONG","21-May-2026","Dorbar Shnong Lumdiengjri","Payment Success","500000"
"11590","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP794/2025-2026/239858","BALRAMPUR(DISTRICT MAGISTRATE BALRAMPUR_IDA)","Kirti Vardhan Singh","GONDA","30-Apr-2026","RAJ CONSTRUCTION","Payment Success","369918"
"11591","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP794/2025-2026/239859","BALRAMPUR(DISTRICT MAGISTRATE BALRAMPUR_IDA)","Kirti Vardhan Singh","GONDA","30-Apr-2026","RAJ CONSTRUCTION","Payment Success","440112"
"11592","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP794/2025-2026/239860","BALRAMPUR(DISTRICT MAGISTRATE BALRAMPUR_IDA)","Kirti Vardhan Singh","GONDA","30-Apr-2026","RAJ CONSTRUCTION","Payment Success","615152"
"11593","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP794/2025-2026/239861","BALRAMPUR(DISTRICT MAGISTRATE BALRAMPUR_IDA)","Kirti Vardhan Singh","GONDA","30-Apr-2026","RAJ CONSTRUCTION","Payment Success","466878"
"11594","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP794/2025-2026/239858","BALRAMPUR(DISTRICT MAGISTRATE BALRAMPUR_IDA)","Kirti Vardhan Singh","GONDA","04-Jul-2026","RAJ CONSTRUCTION","Payment Success","247082"
"11595","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP794/2025-2026/239859","BALRAMPUR(DISTRICT MAGISTRATE BALRAMPUR_IDA)","Kirti Vardhan Singh","GONDA","04-Jul-2026","RAJ CONSTRUCTION","Payment Success","292990"
"11596","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP794/2025-2026/239860","BALRAMPUR(DISTRICT MAGISTRATE BALRAMPUR_IDA)","Kirti Vardhan Singh","GONDA","04-Jul-2026","RAJ CONSTRUCTION","Payment Success","410102"
"11597","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP794/2025-2026/239861","BALRAMPUR(DISTRICT MAGISTRATE BALRAMPUR_IDA)","Kirti Vardhan Singh","GONDA","04-Jul-2026","RAJ CONSTRUCTION","Payment Success","311766"
"11598","Assam","Construction of community centers and community halls","WS/MP18020/2026-2027/265161","BONGAIGAON(Deputy Commissioner Bongaigaon_IDA)","PHANI BHUSAN CHOUDHURY","BARPETA","07-Jul-2026","CONST OF OFFICE ROOM AT ATHUGAON NAMGHAR","Payment Success","360000"
"11599","Assam","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18020/2026-2027/264635","BONGAIGAON(Deputy Commissioner Bongaigaon_IDA)","PHANI BHUSAN CHOUDHURY","BARPETA","18-Jun-2026","Construction of Sand gravel road from Motibar Rahman house to Hassan Ali house","Payment Success","510000"
"11600","Assam","Construction of community centers and community halls","WS/MP18020/2026-2027/264621","BONGAIGAON(Deputy Commissioner Bongaigaon_IDA)","PHANI BHUSAN CHOUDHURY","BARPETA","16-Jun-2026","Construction of Rest House at Barchara Samsan Ghat","Payment Success","300000"
"11601","Andhra Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP529/2025-2026/238049","Tirupati(DISTRICT COLLECTOR TIRUPATI_IDA)","Maddila Gurumoorthy","TIRUPATI(SC)","23-Mar-2026","B SRIDHAR","Payment Success","473392"
"11602","Andhra Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP529/2025-2026/238050","Tirupati(DISTRICT COLLECTOR TIRUPATI_IDA)","Maddila Gurumoorthy","TIRUPATI(SC)","25-Mar-2026","B SRIDHAR","Payment Success","485478"
"11603","Maharashtra","Construction of community centers and community halls","WS/MP685/2026-2027/187647","PUNE(DISTRICT COLLECTOR PUNE_IDA)","Shrirang Appa Barne","MAVAL","21-May-2026","Chirayu Prakash Mungad","Payment Success","999992"
"11604","Maharashtra","Construction of buildings for community cultural activities","WS/MP685/2026-2027/187648","PUNE(DISTRICT COLLECTOR PUNE_IDA)","Shrirang Appa Barne","MAVAL","18-Aug-2026","Chirayu Prakash Mungad","Payment Success","999992"
"11605","Meghalaya","Purchase of ambulances (Four, three and two wheelers)","WS/MP18137/2025-2026/233765","EAST KHASI HILLS(Deputy Commissioner, East Khasi Hills District)","ANDREW J. SYNGKON","SHILLONG","15-May-2026","Neighrims Staff Association","Payment Success","800000"
"11606","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP794/2025-2026/239857","BALRAMPUR(DISTRICT MAGISTRATE BALRAMPUR_IDA)","Kirti Vardhan Singh","GONDA","04-Jul-2026","PADUM KANT","Payment Success","230504"
"11607","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP794/2025-2026/239857","BALRAMPUR(DISTRICT MAGISTRATE BALRAMPUR_IDA)","Kirti Vardhan Singh","GONDA","30-Apr-2026","PADUM KANT","Payment Success","345820"
"11608","Chhattisgarh","Construction of footpaths and pedestrian ways","WS/MP429/2025-2026/242651","KORBA(Collector-Korba)","Jyotsna Charandas Mahant","KORBA","02-Apr-2026","CHIEF EXECUTIVE OFFICER JANPAD PANCHAYAT KARTALA","Payment Success","300000"
"11609","Maharashtra","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP685/2026-2027/194546","PUNE(DISTRICT COLLECTOR PUNE_IDA)","Shrirang Appa Barne","MAVAL","18-May-2026","Shree Venkateshwara Construction","Payment Success","999946"
"11610","Tamil Nadu","Construction of community centers and community halls","WS/MP457/2025-2026/191884","Viluppuram(DISTRICT COLLECTOR VILLUPURAM_IDA)","D Ravikumar","VILUPPURAM(SC)","18-Mar-2026","KUMARAVEL G","Payment Success","980000"
"11611","Maharashtra","Fitting of Sitting RCC Benches in Public Places","WS/MP18116/2026-2027/186732","THANE(DISTRICT COLLECTOR THANE_IDA)","BALYA MAMA SURESH GOPINATH MHATRE","BHIWANDI","09-Apr-2026","Aditya Santosh Deshmukh","Payment Success","492538"
"11612","Maharashtra","Fitting of Sitting RCC Benches in Public Places","WS/MP18116/2026-2027/186750","THANE(DISTRICT COLLECTOR THANE_IDA)","BALYA MAMA SURESH GOPINATH MHATRE","BHIWANDI","09-Apr-2026","Aditya Santosh Deshmukh","Payment Success","492538"
"11613","Andhra Pradesh","Construction of boundary walls of existing public and community buildings","WS/MP18014/2025-2026/241042","Sri Potti Sriramulu Nellore(DISTRICT COLLECTOR NELLORE_IDA)","PRABHAKAR REDDY VEMIREDDY","NELLORE(SC)","25-Mar-2026","VEDICHARLA VENKATESWARLU","Payment Success","498787"
"11614","Tamil Nadu","Construction of water tanks","WS/MP756/2025-2026/242939","Ariyalur(District Collector Ariyalur_IDA)","Thirumaa Valavan Thol","CHIDAMBARAM(SC)","16-Mar-2026","K Gunasekar","Payment Success","688387"
"11615","Tamil Nadu","Construction of water tanks","WS/MP756/2025-2026/242939","Ariyalur(District Collector Ariyalur_IDA)","Thirumaa Valavan Thol","CHIDAMBARAM(SC)","19-Jun-2026","K Gunasekar","Payment Success","1281161"
"11616","Tamil Nadu","Construction of community centers and community halls","WS/MP756/2026-2027/242932","Ariyalur(District Collector Ariyalur_IDA)","Thirumaa Valavan Thol","CHIDAMBARAM(SC)","21-May-2026","K Gunasekar","Payment Success","715856"
"11617","Tamil Nadu","Construction of community centers and community halls","WS/MP756/2026-2027/242932","Ariyalur(District Collector Ariyalur_IDA)","Thirumaa Valavan Thol","CHIDAMBARAM(SC)","13-Aug-2026","K Gunasekar","Payment Success","675080"
"11618","Meghalaya","Development of playground","WS/MP18137/2025-2026/162037","RI BHOI(DEPUTY COMMISSIONER RIBHOI NONGPOH_IDA)","ANDREW J. SYNGKON","SHILLONG","28-Mar-2026","RIPIL MAWPHNIANG","Payment Success","150000"
"11619","Rajasthan","Construction of community centers and community halls","WS/MP18162/2025-2026/187424","BHILWARA(DISTRICT COLLECTOR BHILWARA_IDA)","DAMODAR AGARWAL","BHILWARA","14-May-2026","SHREE SANWARIYA TRADERS","Payment Success","499277"
"11620","Tamil Nadu","Construction of water tanks","WS/MP18180/2025-2026/231216","KARUR(DISTRICT COLLECTOR KARUR_IDA)","ARUN NEHRU","PERAMBALUR","17-Mar-2026","KAMARAJ AYYAVU","Payment Success","2499736"
"11621","Jammu And Kashmir","Construction of water tanks","WS/MP18260/2025-2026/202320","SRINAGAR(DEPUTY COMMISSIONER SRINAGAR_IDA)","AGA SYED RUHULLAH MEHDI","SRINAGAR","07-Jul-2026","FAROOQ AHMAD DAR","Payment Success","549400"
"11622","Madhya Pradesh","Purchase of furniture and fixtures for educational purposes","WS/MP18104/2025-2026/154229","NARMADAPURAM(DISTRICT COLLECTOR NARMADAPURAM_IDA)","DARSHAN SINGH CHOUDHARY","HOSHANGABAD","18-Mar-2026","Shala prabandhan Samiti Jasarvani","Payment Success","150000"
"11623","Meghalaya","Construction of public toilets and bathrooms","WS/MP18137/2025-2026/233787","RI BHOI(DEPUTY COMMISSIONER RIBHOI NONGPOH_IDA)","ANDREW J. SYNGKON","SHILLONG","23-Mar-2026","KWINRILAN RYNJAH","Payment Success","200000"
"11624","Rajasthan","Development of playground","WS/MP18166/2024-2025/172073","JALORE(DISTRICT COLLECTOR JALORE_IDA)","LUMBARAM","JALORE","12-Apr-2026","MAJISA BUILDIND MATERIAL and constructon","Payment Success","31941"
"11625","Rajasthan","Development of playground","WS/MP18166/2024-2025/172073","JALORE(DISTRICT COLLECTOR JALORE_IDA)","LUMBARAM","JALORE","31-Mar-2026","MAJISA BUILDIND MATERIAL and constructon","Payment Success","88560"
"11626","Jammu And Kashmir","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18260/2025-2026/195288","SRINAGAR(DEPUTY COMMISSIONER SRINAGAR_IDA)","AGA SYED RUHULLAH MEHDI","SRINAGAR","30-Mar-2026","MOHAMMAD YOUSUF KAND","Payment Success","436000"
"11627","Tamil Nadu","Construction of boundary walls of existing public and community buildings","WS/MP394/2026-2027/230774","KANNIYAKUMARI(DISTRICT COLLECTOR KANNIYAKUMARI_IDA)","Shri vijayakumar Vasanth","KANNIYAKUMARI","29-Jun-2026","Muthu","Payment Success","500000"
"11628","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18163/2025-2026/264636","DAUSA(DISTRICT COLLECTOR DAUSA_IDA)","MURARI LAL MEENA","DAUSA(ST)","07-Apr-2026","Chauth mal merna","Payment Success","3420"
"11629","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18163/2025-2026/264636","DAUSA(DISTRICT COLLECTOR DAUSA_IDA)","MURARI LAL MEENA","DAUSA(ST)","07-Apr-2026","Khyali ram meena","Payment Success","3420"
"11630","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18163/2025-2026/264636","DAUSA(DISTRICT COLLECTOR DAUSA_IDA)","MURARI LAL MEENA","DAUSA(ST)","07-Apr-2026","Amit kumar meen","Payment Success","7800"
"11631","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18163/2025-2026/264636","DAUSA(DISTRICT COLLECTOR DAUSA_IDA)","MURARI LAL MEENA","DAUSA(ST)","07-Apr-2026","Lohadisi devi","Payment Success","3420"
"11632","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18163/2025-2026/264636","DAUSA(DISTRICT COLLECTOR DAUSA_IDA)","MURARI LAL MEENA","DAUSA(ST)","07-Apr-2026","Sunil kumar Bairwa","Payment Success","7800"
"11633","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18163/2025-2026/264636","DAUSA(DISTRICT COLLECTOR DAUSA_IDA)","MURARI LAL MEENA","DAUSA(ST)","07-Apr-2026","Vikram Kumar bairwa","Payment Success","7800"
