work_id,anomaly_prediction,is_anomaly,anomaly_score,lof_prediction,lof_is_anomaly,lof_score,both_models_anomaly,any_model_anomaly,if_normalized_score,lof_normalized_score,if_risk_score,lof_risk_score,combined_anomaly_score,ensemble_is_anomaly,ensemble_risk_level,rule_risk_score,rule_risk_level,risk_factors,recommended_actions,risk_factor_count,recommended_amount,sanction_amount,total_expenditure,expenditure_ratio,financial_risk_score,financial_risk_level,financial_risk_factors,ensemble_ai_score,final_ai_risk_score,final_ai_risk_level
WS/MP577/2025-2026/133602,1,0,0.2180144479055633,1,0,-0.998837496637646,0,0,0.9533331480364422,0.9999999999999998,0.0466668519635578,2.220446049250313e-16,0.0280001111781347,0,LOW,10,LOW,['No major rule-based risk indicators were detected.'],['Continue regular project monitoring.'],1,250000.0,250000.0,250000.0,1.0,10.0,MEDIUM,"['High payment concentration per vendor', 'Large number of payments concentrated among very few vendors']",4.66668519635561,7.33,LOW
WS/MP18032/2024-2025/134025,1,0,0.1793478140190126,1,0,-4.610413934773466,0,0,0.8628534883325569,0.9999999999999876,0.137146511667443,1.2323475573339238e-14,0.0822879070004707,0,LOW,10,LOW,['No major rule-based risk indicators were detected.'],['Continue regular project monitoring.'],1,899640.0,899640.0,899640.0,1.0,10.0,HIGH,"['Project expenditure is unusually high compared to other projects', 'High payment concentration per vendor', 'Large number of payments concentrated among very few vendors', 'Multiple financial risk indicators detected simultaneously']",13.714651166744824,11.86,LOW
WS/MP632/2024-2025/134093,1,0,0.2160379782198321,1,0,-4.725495624895896,0,0,0.9487082224454352,0.9999999999999872,0.0512917775545647,1.27675647831893e-14,0.0307750665327439,0,LOW,10,LOW,['No major rule-based risk indicators were detected.'],['Continue regular project monitoring.'],1,294496.0,294496.0,294496.0,1.0,10.0,MEDIUM,"['High payment concentration per vendor', 'Large number of payments concentrated among very few vendors']",5.129177755457138,7.56,LOW
WS/MP632/2024-2025/134106,1,0,0.2165799899577441,1,0,-8.937813944643722,0,0,0.9499765262172526,0.9999999999999732,0.0500234737827474,2.675637489346628e-14,0.0300140842696591,0,LOW,10,LOW,['No major rule-based risk indicators were detected.'],['Continue regular project monitoring.'],1,286879.0,286879.0,286879.0,1.0,10.0,MEDIUM,"['High payment concentration per vendor', 'Large number of payments concentrated among very few vendors']",5.0023473782763395,7.5,LOW
WS/MP18067/2025-2026/134321,1,0,0.1898623037297085,1,0,-5807.482087051279,0,0,0.8874573225782546,0.9999999999805864,0.1125426774217454,1.9413692875502875e-11,0.0675256064608127,0,LOW,10,LOW,['No major rule-based risk indicators were detected.'],['Continue regular project monitoring.'],1,545000.0,545000.0,475750.0,0.8729357798165137,0.0,MEDIUM,"['High payment concentration per vendor', 'Large number of payments concentrated among very few vendors']",11.254267743468523,8.63,LOW
WS/MP18067/2025-2026/134323,1,0,0.122683699594056,1,0,-0.9980313217394744,0,0,0.7302598468577197,0.9999999999999998,0.2697401531422803,2.220446049250313e-16,0.1618440918853682,0,LOW,10,LOW,['No major rule-based risk indicators were detected.'],['Continue regular project monitoring.'],1,300000.0,300000.0,289100.0,0.9636666666666668,10.0,MEDIUM,"['Extremely high payment concentration per vendor', 'Large number of payments concentrated among very few vendors']",26.97401531422756,18.49,LOW
WS/MP18065/2025-2026/134736,1,0,0.074290819682421,1,0,-1.0005643568796136,0,0,0.6170208377590067,0.9999999999999998,0.3829791622409932,2.220446049250313e-16,0.229787497344596,0,LOW,10,LOW,['No major rule-based risk indicators were detected.'],['Continue regular project monitoring.'],1,1000000.0,1000000.0,730401.0,0.730401,0.0,MEDIUM,"['Extremely high payment concentration per vendor', 'Large number of payments concentrated among very few vendors']",38.297916224098714,22.15,LOW
WS/MP18065/2024-2025/134739,1,0,0.1955159396244334,1,0,-0.994700482117139,0,0,0.9006867920310456,0.9999999999999998,0.0993132079689543,2.220446049250313e-16,0.0595879247813727,0,LOW,10,LOW,['No major rule-based risk indicators were detected.'],['Continue regular project monitoring.'],1,500000.0,500000.0,438977.0,0.877954,0.0,MEDIUM,"['High payment concentration per vendor', 'Large number of payments concentrated among very few vendors']",9.931320796895207,7.97,LOW
WS/MP18065/2025-2026/134740,1,0,0.1400003938626703,1,0,-20230.625553211536,0,0,0.7707807933982828,0.999999999932364,0.2292192066017172,6.763611892779409e-11,0.1375315239880847,0,LOW,10,LOW,['No major rule-based risk indicators were detected.'],['Continue regular project monitoring.'],1,1100000.0,1100000.0,947837.0,0.86167,0.0,HIGH,"['Project expenditure is unusually high compared to other projects', 'High payment concentration per vendor', 'Large number of payments concentrated among very few vendors', 'Multiple financial risk indicators detected simultaneously']",22.921920664680364,14.46,LOW
WS/MP485/2024-2025/134790,1,0,0.2156617693241683,1,0,-1.5966528355919647,0,0,0.9478278961942,0.9999999999999976,0.0521721038058,2.3314683517128287e-15,0.0313032622834809,0,LOW,10,LOW,['No major rule-based risk indicators were detected.'],['Continue regular project monitoring.'],1,227469.0,227469.0,227469.0,1.0,10.0,MEDIUM,"['High payment concentration per vendor', 'Large number of payments concentrated among very few vendors']",5.217210380579969,7.61,LOW
