work_id,state,ida,honble_members_of_parliament,constituency,work_category,work_description,recommended_date,recommended_amount,sanction_date,sanction_amount,work_status,completion_date,completed_amount_disbursed,total_expenditure,payment_count,unique_vendors,has_sanction,has_completion,has_expenditure,sanction_delay_days,completion_duration_days,sanction_difference,expenditure_ratio,sanction_ratio,expenditure_difference,completion_amount_ratio,completion_amount_difference,payments_per_vendor,financial_year,recommended_year,recommended_month,anomaly_prediction,is_anomaly,anomaly_score,if_normalized_score,if_risk_score
WS/MP017/2026-2027/160046,Tamil Nadu,"Ranipet(District Collector, Ranipet_2)",S. Jagathrakshakan,ARAKKONAM,Normal/Others,"Construction of Multi Purpose Building at Ward no 19,First Main Road",2024-12-19,700000.0,,,,,,,,,0,0,0,,,,,,,,,,2026-2027,2024,12,1,0,0.13202018281587452,0.7589018726677024,24.11
WS/MP017/2025-2026/160048,Tamil Nadu,"Ranipet(District Collector, Ranipet_2)",S. Jagathrakshakan,ARAKKONAM,Normal/Others,construction of Shelter,2024-12-19,799382.0,,,,,,799382.0,1.0,1.0,0,0,1,,,,,,,,,1.0,2025-2026,2024,12,1,0,0.10112212983529423,0.6775258038127648,32.25
WS/MP017/2025-2026/160052,Tamil Nadu,"Ranipet(District Collector, Ranipet_2)",S. Jagathrakshakan,ARAKKONAM,Normal/Others,Construction of Toilet,2024-12-19,599528.0,,,,,,599528.0,1.0,1.0,0,0,1,,,,,,,,,1.0,2025-2026,2024,12,1,0,0.12722205646223234,0.7462650679870294,25.37
WS/MP017/2025-2026/160053,Tamil Nadu,"Ranipet(District Collector, Ranipet_2)",S. Jagathrakshakan,ARAKKONAM,Normal/Others,Construction of Public Toilet,2024-12-19,500000.0,,,,,,500000.0,1.0,1.0,0,0,1,,,,,,,,,1.0,2025-2026,2024,12,1,0,0.1480878262558108,0.8012191558870245,19.88
WS/MP017/2025-2026/160054,Tamil Nadu,"Ranipet(District Collector, Ranipet_2)",S. Jagathrakshakan,ARAKKONAM,Normal/Others,Construction of Public Toilet,2024-12-19,500000.0,,,,,,500000.0,1.0,1.0,0,0,1,,,,,,,,,1.0,2025-2026,2024,12,1,0,0.1480878262558108,0.8012191558870245,19.88
WS/MP017/2025-2026/160057,Tamil Nadu,THIRUVALLUR(DISTRICT COLLECTOR TIRUVALLUR_IDA),S. Jagathrakshakan,ARAKKONAM,Normal/Others,construction of bus shed,2024-12-19,647735.0,,,,,,647735.0,1.0,1.0,0,0,1,,,,,,,,,1.0,2025-2026,2024,12,1,0,0.12084032585220905,0.7294575316072675,27.05
WS/MP017/2025-2026/160058,Tamil Nadu,THIRUVALLUR(DISTRICT COLLECTOR TIRUVALLUR_IDA),S. Jagathrakshakan,ARAKKONAM,Normal/Others,Construction of Boundary walls and Paver block,2024-12-19,649986.0,,,,,,,,,0,0,0,,,,,,,,,,2025-2026,2024,12,1,0,0.1395792170204559,0.7788100684461047,22.12
WS/MP18263/2025-2026/160062,Karnataka,CHIKKAMAGALURU(DEPUTY COMMISSIONER CHIKMAGALUR),KOTA SRINIVAS POOJARY,UDUPI CHIKMAGALUR,Normal/Others,"Vinayakapura Berani road development work in Bilagadde village, Shanuvalli Grama Panchayat, Koppa Taluk, Chikmagalur district.",2024-12-19,400000.0,,,,,,398761.0,1.0,1.0,0,0,1,,,,,,,,,1.0,2025-2026,2024,12,1,0,0.15132502230457945,0.8097449451568889,19.03
WS/MP18263/2025-2026/160063,Karnataka,CHIKKAMAGALURU(DEPUTY COMMISSIONER CHIKMAGALUR),KOTA SRINIVAS POOJARY,UDUPI CHIKMAGALUR,Normal/Others,"Gandaghatta Road Development Work, Gandaghatta Village, Sringeri Taluk, Chikmagalur District.",2024-12-19,400000.0,,,,,,399759.0,1.0,1.0,0,0,1,,,,,,,,,1.0,2025-2026,2024,12,1,0,0.15132502230457945,0.8097449451568889,19.03
WS/MP18088/2025-2026/160064,Karnataka,KOLAR(DEPUTY COMMISSIONER KOLAR_IDA),M. MALLESH BABU,KOLAR(SC),Normal/Others,Construction of drain and road from Banahalli hill to Dodda Kere through SC Colony in Banahlli Village of Banahalli GP.,2025-01-07,400000.0,,,,,,394409.0,2.0,1.0,0,0,1,,,,,,,,,2.0,2025-2026,2025,1,1,0,0.03119920749998184,0.4933701048736413,50.66
WS/MP18088/2025-2026/160065,Karnataka,KOLAR(DEPUTY COMMISSIONER KOLAR_IDA),M. MALLESH BABU,KOLAR(SC),Normal/Others,Construction of CC roadc and drain to burial grounds near Lakshman farms in Kshethranahalli Village of Banhalli GP.,2025-01-07,300000.0,,,,,,,,,0,0,0,,,,,,,,,,2025-2026,2025,1,1,0,0.19432497706865853,0.9229937405369782,7.7
WS/MP18088/2025-2026/160066,Karnataka,KOLAR(DEPUTY COMMISSIONER KOLAR_IDA),M. MALLESH BABU,KOLAR(SC),Normal/Others,Construction of CC road in SC colony at Nakkanahalli village of Kondashettyhalli GP.,2025-01-07,200000.0,,,,,,,,,0,0,0,,,,,,,,,,2025-2026,2025,1,1,0,0.19825838286044162,0.9333531344038904,6.66
