work_id,combined_anomaly_score,ensemble_risk_level,rule_risk_score,rule_risk_level,risk_factors,recommended_actions,financial_risk_score,financial_risk_level,financial_risk_factors,statistical_anomaly_score,statistical_anomaly_level,statistical_anomaly_factors,ml_normalized_score,final_ai_risk_score,final_ai_risk_level,active_risk_engines,final_ai_risk_factors,risk_detection_confidence
WS/MP18003/2024-2025/157509,0.2741832714285925,LOW,0.0,LOW,['No major rule-based risk indicators were detected.'],['Continue regular project monitoring.'],20,MEDIUM,['Project expenditure is among the highest 1%'],18,MEDIUM,['Project expenditure is among the highest 1%'],45.69721190476476,23.59,LOW,3,"['Financial risk indicators were detected', 'Statistical financial anomalies were detected', 'Multiple independent AI risk engines detected suspicious patterns']",HIGH
WS/MP18003/2024-2025/157510,0.0,,0.0,,,,0,LOW,[],0,LOW,[],0.0,0.0,LOW,0,[],VERY LOW
WS/MP18003/2024-2025/157513,0.0,,0.0,,,,0,LOW,[],0,LOW,[],0.0,0.0,LOW,0,[],VERY LOW
WS/MP18003/2024-2025/157514,0.0033904311996173,LOW,0.0,LOW,['No major rule-based risk indicators were detected.'],['Continue regular project monitoring.'],0,LOW,[],0,LOW,[],0.5650718666028752,0.2,LOW,1,[],LOW
WS/MP18003/2024-2025/157517,0.0030187893402767,LOW,0.0,LOW,['No major rule-based risk indicators were detected.'],['Continue regular project monitoring.'],0,LOW,[],0,LOW,[],0.5031315567127761,0.18,LOW,1,[],LOW
WS/MP18003/2024-2025/157518,0.003018789340279,LOW,0.0,LOW,['No major rule-based risk indicators were detected.'],['Continue regular project monitoring.'],0,LOW,[],0,LOW,[],0.5031315567131595,0.18,LOW,1,[],LOW
WS/MP18003/2024-2025/157519,0.0030187893402767,LOW,0.0,LOW,['No major rule-based risk indicators were detected.'],['Continue regular project monitoring.'],0,LOW,[],0,LOW,[],0.5031315567127761,0.18,LOW,1,[],LOW
WS/MP18003/2024-2025/157520,0.0030187893402795,LOW,0.0,LOW,['No major rule-based risk indicators were detected.'],['Continue regular project monitoring.'],0,LOW,[],0,LOW,[],0.5031315567132427,0.18,LOW,1,[],LOW
WS/MP18003/2024-2025/157521,0.0046236255318866,LOW,0.0,LOW,['No major rule-based risk indicators were detected.'],['Continue regular project monitoring.'],0,LOW,[],0,LOW,[],0.7706042553144222,0.27,LOW,1,[],LOW
WS/MP18003/2024-2025/157525,0.003018789340277,LOW,0.0,LOW,['No major rule-based risk indicators were detected.'],['Continue regular project monitoring.'],0,LOW,[],0,LOW,[],0.5031315567128261,0.18,LOW,1,[],LOW
WS/MP18003/2024-2025/157527,0.0030187893402819,LOW,0.0,LOW,['No major rule-based risk indicators were detected.'],['Continue regular project monitoring.'],0,LOW,[],0,LOW,[],0.5031315567136427,0.18,LOW,1,[],LOW
WS/MP18003/2024-2025/157528,0.0,,0.0,,,,0,LOW,[],0,LOW,[],0.0,0.0,LOW,0,[],VERY LOW
WS/MP18004/2024-2025/151986,0.0,,0.0,,,,0,LOW,[],0,LOW,[],0.0,0.0,LOW,0,[],VERY LOW
WS/MP18004/2024-2025/152096,0.0,,0.0,,,,0,LOW,[],0,LOW,[],0.0,0.0,LOW,0,[],VERY LOW
WS/MP18004/2024-2025/152141,0.0,,0.0,,,,0,LOW,[],0,LOW,[],0.0,0.0,LOW,0,[],VERY LOW
WS/MP18004/2024-2025/152143,0.0,,0.0,,,,0,LOW,[],0,LOW,[],0.0,0.0,LOW,0,[],VERY LOW
WS/MP18004/2024-2025/152144,0.0,,0.0,,,,0,LOW,[],0,LOW,[],0.0,0.0,LOW,0,[],VERY LOW
WS/MP18004/2024-2025/152145,0.0,,0.0,,,,0,LOW,[],0,LOW,[],0.0,0.0,LOW,0,[],VERY LOW
WS/MP18004/2024-2025/152146,0.0,,0.0,,,,0,LOW,[],0,LOW,[],0.0,0.0,LOW,0,[],VERY LOW
WS/MP18004/2024-2025/152147,0.0,,0.0,,,,0,LOW,[],0,LOW,[],0.0,0.0,LOW,0,[],VERY LOW
WS/MP18004/2024-2025/156137,0.0,,0.0,,,,0,LOW,[],0,LOW,[],0.0,0.0,LOW,0,[],VERY LOW
WS/MP18004/2024-2025/157507,0.0,,0.0,,,,0,LOW,[],0,LOW,[],0.0,0.0,LOW,0,[],VERY LOW
WS/MP18004/2024-2025/157508,0.0,,0.0,,,,0,LOW,[],0,LOW,[],0.0,0.0,LOW,0,[],VERY LOW
