work_id,state,ida,honble_members_of_parliament,constituency,work_category,work_description,recommended_date,recommended_amount,sanction_date,sanction_amount,work_status,completion_date,completed_amount_disbursed,total_expenditure,payment_count,unique_vendors,has_sanction,has_completion,has_expenditure,sanction_delay_days,completion_duration_days,sanction_difference,expenditure_ratio,sanction_ratio,expenditure_difference,completion_amount_ratio,completion_amount_difference,payments_per_vendor,financial_year,recommended_year,recommended_month,anomaly_prediction,is_anomaly,anomaly_score,risk_score,risk_level,risk_reasons
WS/MP18351/2024-2025/158756,Andhra Pradesh,Nandyal(DISTRICT COLLECTOR NANDYAL_IDA),DR BYREDDY SHABARI,NANDYAL,Normal/Others,"Establishment of a mineral water plant in Srinagaram village, a hamlet of Bukkapuram in Mahanandi Mandal, to provide safe and clean drinking water. The project includes setting up purification systems, conducting quality checks, and creating local employment, ensuring improved health and sustainable water access for the community.",2024-12-14,499247.0,,,,,,499247.0,1.0,1.0,0,0,1,,,,,,,,,1.0,2024-2025,2024,12,1,0,0.2356147687441506,0,LOW,No significant risk indicators detected
WS/MP640/2025-2026/158759,Madhya Pradesh,MANDLA(DISTRICT COLLECTOR MANDLA_IDA),Faggan Singh Kulaste,MANDLA(ST),Normal/Others,Gram Kumhali ke yadav tola ghughara nala me puliya nirman.,2024-12-14,500000.0,,,,,,250000.0,1.0,1.0,0,0,1,,,,,,,,,1.0,2025-2026,2024,12,1,0,0.2331414292123336,0,LOW,No significant risk indicators detected
WS/MP640/2025-2026/158760,Madhya Pradesh,MANDLA(DISTRICT COLLECTOR MANDLA_IDA),Faggan Singh Kulaste,MANDLA(ST),Normal/Others,Gram Khalaundi ke talabtola me kunj bihari ke ghar ke pas puliya nirman.,2024-12-14,500000.0,,,,,,250000.0,1.0,1.0,0,0,1,,,,,,,,,1.0,2025-2026,2024,12,1,0,0.2331414292123336,0,LOW,No significant risk indicators detected
WS/MP640/2025-2026/158763,Madhya Pradesh,SEONI(District Collector Seoni_IDA),Faggan Singh Kulaste,MANDLA(ST),Normal/Others,Gram khairranji me sunder marar ke khet ke pas puliya nirman.,2024-12-14,500000.0,,,,,,499680.0,7.0,2.0,0,0,1,,,,,,,,,3.5,2025-2026,2024,12,-1,1,-0.0292220327591192,65,MEDIUM,Unusual financial pattern detected by the AI model | High number of payments detected (7 payments) | High number of payments per vendor
WS/MP18045/2025-2026/158835,Bihar,SIWAN(DISTRICT PLANNING OFFICER SIWAN_IDA),VIJAYLAKSHMI DEVI,SIWAN,Normal/Others,High Mask Light,2024-12-15,958500.0,,,,,,958500.0,1.0,1.0,0,0,1,,,,,,,,,1.0,2025-2026,2024,12,1,0,0.1966342250230122,0,LOW,No significant risk indicators detected
WS/MP18045/2025-2026/158849,Bihar,SIWAN(DISTRICT PLANNING OFFICER SIWAN_IDA),VIJAYLAKSHMI DEVI,SIWAN,Normal/Others,High Mask Light,2024-12-15,958500.0,,,,,,958500.0,1.0,1.0,0,0,1,,,,,,,,,1.0,2025-2026,2024,12,1,0,0.1966342250230122,0,LOW,No significant risk indicators detected
WS/MP18045/2025-2026/158850,Bihar,SIWAN(DISTRICT PLANNING OFFICER SIWAN_IDA),VIJAYLAKSHMI DEVI,SIWAN,Normal/Others,High Mask Light,2024-12-15,958500.0,,,,,,958500.0,1.0,1.0,0,0,1,,,,,,,,,1.0,2025-2026,2024,12,1,0,0.1966342250230122,0,LOW,No significant risk indicators detected
WS/MP18045/2025-2026/158851,Bihar,SIWAN(DISTRICT PLANNING OFFICER SIWAN_IDA),VIJAYLAKSHMI DEVI,SIWAN,Normal/Others,High Mask Light,2024-12-15,958500.0,,,,,,958500.0,1.0,1.0,0,0,1,,,,,,,,,1.0,2025-2026,2024,12,1,0,0.1966342250230122,0,LOW,No significant risk indicators detected
WS/MP18045/2025-2026/158852,Bihar,SIWAN(DISTRICT PLANNING OFFICER SIWAN_IDA),VIJAYLAKSHMI DEVI,SIWAN,Normal/Others,High Mask Light,2024-12-15,958500.0,,,,,,958500.0,1.0,1.0,0,0,1,,,,,,,,,1.0,2025-2026,2024,12,1,0,0.1966342250230122,0,LOW,No significant risk indicators detected
WS/MP18045/2025-2026/158855,Bihar,SIWAN(DISTRICT PLANNING OFFICER SIWAN_IDA),VIJAYLAKSHMI DEVI,SIWAN,Normal/Others,High Mask Light,2024-12-15,958500.0,,,,,,958500.0,1.0,1.0,0,0,1,,,,,,,,,1.0,2025-2026,2024,12,1,0,0.1966342250230122,0,LOW,No significant risk indicators detected
