work_id,state,constituency,recommended_amount,sanction_amount,total_expenditure,expenditure_ratio,payment_count,unique_vendors,payments_per_vendor,anomaly_score
WS/MP18109/2024-2025/150121,Madhya Pradesh,SIDHI,1000000.0,1000000.0,999900.0,0.9999,12.0,1.0,12.0,-0.08938907753369985
WS/MP18161/2024-2025/138075,Rajasthan,BHARATPUR(SC),600000.0,600000.0,52220.0,0.0870333333333333,10.0,10.0,1.0,-0.08770704590244838
WS/MP352/2025-2026/135862,Kerala,ERNAKULAM,2362903.0,2362903.0,2362903.0,1.0,5.0,4.0,1.25,-0.08726639399307368
WS/MP18170/2024-2025/156349,Rajasthan,SIKAR,498249.0,,498249.0,,11.0,11.0,1.0,-0.085585790361566
WS/MP18162/2024-2025/147233,Rajasthan,BHILWARA,500000.0,500000.0,499323.0,0.998646,16.0,16.0,1.0,-0.08208714629830127
WS/MP18308/2025-2026/145431,Maharashtra,MUMBAI NORTH WEST,4000000.0,4000000.0,3993959.0,0.99848975,1.0,1.0,1.0,-0.08199084725660388
WS/MP458/2025-2026/149728,Tamil Nadu,THOOTHUKKUDI,3600000.0,3600000.0,3596664.0,0.9990733333333334,2.0,1.0,2.0,-0.0819217535127168
WS/MP18247/2024-2025/145108,West Bengal,BANKURA,4020731.0,4020731.0,4020731.0,1.0,1.0,1.0,1.0,-0.0803903928719687
WS/MP719/2024-2025/140136,Rajasthan,AJMER,490801.0,490801.0,176184.0,0.3589723737319198,11.0,11.0,1.0,-0.08004124946886604
WS/MP18161/2024-2025/141088,Rajasthan,BHARATPUR(SC),500000.0,500000.0,499036.0,0.998072,15.0,14.0,1.0714285714285714,-0.07956192494228675
WS/MP18183/2024-2025/143387,Tamil Nadu,THANJAVUR,4980095.0,4980095.0,344809.0,0.0692374342256523,1.0,1.0,1.0,-0.07947643278872696
WS/MP18183/2024-2025/143390,Tamil Nadu,THANJAVUR,4818297.0,4818297.0,199680.0,0.0414420281688737,1.0,1.0,1.0,-0.07908294776250369
WS/MP18176/2024-2025/146590,Tamil Nadu,DINDIGUL,4999254.0,4999254.0,1199254.0,0.239886591079389,1.0,1.0,1.0,-0.07856441126461355
WS/MP458/2025-2026/150048,Tamil Nadu,THOOTHUKKUDI,3999840.0,3999840.0,3999840.0,1.0,1.0,1.0,1.0,-0.07842265956371108
WS/MP18311/2024-2025/143656,Punjab,ANANDPUR SAHIB,700000.0,700000.0,700000.0,1.0,13.0,4.0,3.25,-0.0774585097228746
WS/MP457/2024-2025/159001,Tamil Nadu,VILUPPURAM(SC),4986704.0,,4986704.0,,2.0,1.0,2.0,-0.07604009782728582
WS/MP18166/2024-2025/157877,Rajasthan,JALORE,499969.0,,499267.0,,10.0,10.0,1.0,-0.07536462569775748
WS/MP18167/2024-2025/160012,Rajasthan,JHUNJHUNU,500000.0,,498001.0,,10.0,10.0,1.0,-0.07536462569775748
WS/MP823/2025-2026/152969,West Bengal,KRISHNANAGAR,4924873.0,,4924873.0,,2.0,1.0,2.0,-0.07513707903962519
WS/MP719/2024-2025/149560,Rajasthan,AJMER,495931.0,495931.0,103726.0,0.2091540960335207,10.0,10.0,1.0,-0.07513694722761677
WS/MP18109/2024-2025/146898,Madhya Pradesh,SIDHI,500000.0,500000.0,498403.0,0.996806,10.0,1.0,10.0,-0.07409831465281136
WS/MP458/2025-2026/149732,Tamil Nadu,THOOTHUKKUDI,4000000.0,4000000.0,2709989.0,0.67749725,1.0,1.0,1.0,-0.07371414437105306
WS/MP720/2024-2025/153659,Rajasthan,CHITTORGARH,294955.0,,45566.0,,9.0,9.0,1.0,-0.0734843876294704
WS/MP719/2024-2025/153214,Rajasthan,AJMER,993407.0,,31195.0,,8.0,6.0,1.3333333333333333,-0.07345457316605075
WS/MP410/2024-2025/139571,Assam,LAKHIMPUR,3600000.0,3600000.0,3574579.0,0.9929386111111111,1.0,1.0,1.0,-0.07247798833501029
WS/MP18007/2024-2025/149399,Andhra Pradesh,ELURU,3204000.0,3204000.0,3198191.0,0.9981869538077404,2.0,1.0,2.0,-0.06938765731987673
WS/MP18254/2024-2025/156814,West Bengal,MEDINIPUR,2994902.0,,2828285.0,,3.0,1.0,3.0,-0.06931914309851939
WS/MP18007/2024-2025/149400,Andhra Pradesh,ELURU,3204000.0,3204000.0,3198733.0,0.9983561173533084,2.0,1.0,2.0,-0.06850808940102449
WS/MP18109/2024-2025/146900,Madhya Pradesh,SIDHI,500000.0,500000.0,499940.0,0.99988,9.0,1.0,9.0,-0.06687007562594638
WS/MP18109/2024-2025/146899,Madhya Pradesh,SIDHI,500000.0,500000.0,499975.0,0.99995,9.0,1.0,9.0,-0.06672155549559966
WS/MP719/2024-2025/140155,Rajasthan,AJMER,200000.0,200000.0,194388.0,0.97194,10.0,9.0,1.1111111111111112,-0.06647168191245345
WS/MP18001/2024-2025/138858,Andhra Pradesh,AMALAPURAM(SC),3507771.0,3507771.0,3507771.0,1.0,1.0,1.0,1.0,-0.06588971609020733
WS/MP716/2024-2025/141390,Punjab,BHATINDA,500000.0,500000.0,235000.0,0.47,7.0,1.0,7.0,-0.06583344761357013
WS/MP867/2024-2025/151535,West Bengal,KOLKATA UTTAR,5000000.0,,5000000.0,,1.0,1.0,1.0,-0.06552260675194366
WS/MP18162/2024-2025/147105,Rajasthan,BHILWARA,499464.0,499464.0,84495.0,0.1691713516890106,9.0,9.0,1.0,-0.0653490083514735
WS/MP18328/2024-2025/138239,Himachal Pradesh,MANDI,1900000.0,1900000.0,1900000.0,1.0,4.0,1.0,4.0,-0.06458496549316217
WS/MP18152/2024-2025/158093,Punjab,FARIDKOT(SC),1200000.0,,376082.0,,8.0,3.0,2.6666666666666665,-0.0629320002036694
WS/MP18337/2024-2025/142178,Kerala,ALATHUR(SC),2871509.0,2871509.0,177455.0,0.0617985177828103,2.0,2.0,1.0,-0.06254254680319915
WS/MP18311/2024-2025/153729,Punjab,ANANDPUR SAHIB,300000.0,,90500.0,,8.0,8.0,1.0,-0.062034007905074406
WS/MP18355/2025-2026/158193,Karnataka,BANGALORE NORTH,2500000.0,,2500000.0,,4.0,2.0,2.0,-0.06117042203612311
WS/MP18355/2025-2026/158349,Karnataka,BANGALORE NORTH,5000000.0,,4681278.0,,1.0,1.0,1.0,-0.060827727127693465
WS/MP18167/2024-2025/158384,Rajasthan,JHUNJHUNU,342850.0,,106120.0,,8.0,8.0,1.0,-0.06067006405382924
WS/MP18152/2024-2025/137615,Punjab,FARIDKOT(SC),500000.0,500000.0,500000.0,1.0,13.0,8.0,1.625,-0.06034871160712085
WS/MP18312/2026-2027/157891,Tamil Nadu,TIRUCHIRAPPALLI,4800000.0,,4799465.0,,1.0,1.0,1.0,-0.060326638413157774
WS/MP18152/2024-2025/150654,Punjab,FARIDKOT(SC),500000.0,500000.0,500000.0,1.0,13.0,6.0,2.1666666666666665,-0.05933628105439315
WS/MP18311/2024-2025/153717,Punjab,ANANDPUR SAHIB,500000.0,,368366.0,,9.0,5.0,1.8,-0.05909290413535928
WS/MP457/2024-2025/146371,Tamil Nadu,VILUPPURAM(SC),3393546.0,3393546.0,3393546.0,1.0,1.0,1.0,1.0,-0.05802209281822179
WS/MP18109/2024-2025/146903,Madhya Pradesh,SIDHI,500000.0,500000.0,499554.0,0.999108,8.0,1.0,8.0,-0.05690720228921542
WS/MP18161/2024-2025/138107,Rajasthan,BHARATPUR(SC),400000.0,400000.0,399811.0,0.9995275,12.0,12.0,1.0,-0.054830101344956694
WS/MP710/2025-2026/149858,Puducherry,Puducherry,3345017.0,3345017.0,3345017.0,1.0,1.0,1.0,1.0,-0.05433738293166013
WS/MP18180/2025-2026/143525,Tamil Nadu,PERAMBALUR,3460000.0,3460000.0,2211213.0,0.6390789017341041,1.0,1.0,1.0,-0.0522631734496376
WS/MP640/2026-2027/151609,Madhya Pradesh,MANDLA(ST),1000000.0,,999976.0,,6.0,1.0,6.0,-0.05193305535743442
WS/MP18006/2024-2025/141947,Andhra Pradesh,CHITTOOR,3100000.0,3100000.0,3037130.0,0.9797193548387096,1.0,1.0,1.0,-0.05167170230126461
WS/MP640/2026-2027/151613,Madhya Pradesh,MANDLA(ST),1000000.0,,950495.0,,6.0,1.0,6.0,-0.051554438018237225
WS/MP18161/2024-2025/138061,Rajasthan,BHARATPUR(SC),498308.0,498308.0,23370.0,0.0468987052184592,7.0,7.0,1.0,-0.05115925083609263
WS/MP18155/2024-2025/141720,Punjab,HOSHIARPUR(SC),300000.0,300000.0,300000.0,1.0,10.0,10.0,1.0,-0.05023560718198361
WS/MP370/2024-2025/145537,Odisha,SUNDARGARH (ST),700000.0,700000.0,684869.0,0.9783842857142856,9.0,7.0,1.2857142857142858,-0.050184403854065196
WS/MP823/2024-2025/139964,West Bengal,KRISHNANAGAR,2933290.0,2933290.0,2933290.0,1.0,2.0,1.0,2.0,-0.04876939962228677
WS/MP18272/2025-2026/143426,West Bengal,JHARGRAM(ST),2942147.0,2942147.0,2942147.0,1.0,2.0,1.0,2.0,-0.048624961254871146
WS/MP478/2025-2026/154206,Uttarakhand,TEHRI GARHWAL,200000.0,,78104.0,,7.0,7.0,1.0,-0.0485219324300632
WS/MP18089/2025-2026/154775,Karnataka,KOPPAL,2500000.0,,2451209.0,,3.0,1.0,3.0,-0.04838139173855793
WS/MP18166/2024-2025/155560,Rajasthan,JALORE,642700.0,,72600.0,,7.0,7.0,1.0,-0.04773739475629091
WS/MP716/2024-2025/139172,Punjab,BHATINDA,479391.0,479391.0,200526.0,0.4182932095095653,5.0,1.0,5.0,-0.04697608872060466
WS/MP719/2024-2025/157122,Rajasthan,AJMER,489270.0,,71520.0,,7.0,7.0,1.0,-0.04689738662892007
WS/MP18272/2024-2025/138305,West Bengal,JHARGRAM(ST),2911701.0,2911701.0,2911701.0,1.0,2.0,1.0,2.0,-0.046851571094649436
WS/MP722/2024-2025/153048,Rajasthan,JHALAWAR-BARAN,2500000.0,,2314429.0,,3.0,1.0,3.0,-0.044922542320159464
WS/MP18023/2024-2025/144134,Assam,GUWAHATI,800000.0,800000.0,800000.0,1.0,6.0,1.0,6.0,-0.04445194763544291
WS/MP18101/2024-2025/154629,Madhya Pradesh,DAMOH,1500000.0,,1499970.0,,4.0,1.0,4.0,-0.044220355237993614
WS/MP18196/2025-2026/157009,Tripura,TRIPURA EAST(ST),4000000.0,,3993165.0,,2.0,1.0,2.0,-0.04350234144486498
WS/MP243/2025-2026/147542,West Bengal,BARASAT,3000000.0,3000000.0,2887200.0,0.9624,1.0,1.0,1.0,-0.04270239631859074
WS/MP719/2024-2025/154861,Rajasthan,AJMER,444963.0,,444963.0,,7.0,7.0,1.0,-0.04068404941130899
WS/MP719/2024-2025/154860,Rajasthan,AJMER,446299.0,,446299.0,,7.0,7.0,1.0,-0.04068404941130899
WS/MP18355/2025-2026/158366,Karnataka,BANGALORE NORTH,2924594.0,,2924594.0,,2.0,2.0,1.0,-0.0403600997355501
WS/MP18311/2024-2025/141029,Punjab,ANANDPUR SAHIB,400000.0,400000.0,400000.0,1.0,10.0,5.0,2.0,-0.040072866808831265
WS/MP640/2026-2027/151610,Madhya Pradesh,MANDLA(ST),1000000.0,,999976.0,,6.0,2.0,3.0,-0.03946708603428284
WS/MP18308/2025-2026/145427,Maharashtra,MUMBAI NORTH WEST,3000000.0,3000000.0,2995469.0,0.9984896666666668,1.0,1.0,1.0,-0.03713263140135281
WS/MP18172/2024-2025/149108,Rajasthan,UDAIPUR(ST),1492918.0,1492918.0,1492918.0,1.0,4.0,1.0,4.0,-0.0357829628843046
WS/MP18311/2024-2025/142736,Punjab,ANANDPUR SAHIB,200000.0,200000.0,125851.0,0.629255,7.0,5.0,1.4,-0.03545922036136595
WS/MP370/2024-2025/145561,Odisha,SUNDARGARH (ST),400000.0,400000.0,398282.0,0.995705,9.0,8.0,1.125,-0.03477053390601925
WS/MP18254/2024-2025/156805,West Bengal,MEDINIPUR,2111478.0,,2111478.0,,3.0,1.0,3.0,-0.034638990886383
WS/MP458/2026-2027/150074,Tamil Nadu,THOOTHUKKUDI,3000000.0,3000000.0,3000000.0,1.0,1.0,1.0,1.0,-0.0339690394864256
WS/MP18176/2024-2025/142544,Tamil Nadu,DINDIGUL,3000000.0,3000000.0,3000000.0,1.0,1.0,1.0,1.0,-0.0339690394864256
WS/MP18311/2024-2025/142734,Punjab,ANANDPUR SAHIB,200000.0,200000.0,200000.0,1.0,8.0,3.0,2.6666666666666665,-0.033858425859282004
WS/MP18311/2024-2025/142735,Punjab,ANANDPUR SAHIB,200000.0,200000.0,200000.0,1.0,8.0,3.0,2.6666666666666665,-0.033858425859282004
WS/MP18272/2024-2025/143420,West Bengal,JHARGRAM(ST),2988593.0,2988593.0,2988593.0,1.0,1.0,1.0,1.0,-0.033827938649683253
WS/MP722/2024-2025/153047,Rajasthan,JHALAWAR-BARAN,2500000.0,,1951337.0,,3.0,2.0,1.5,-0.03354975374329672
WS/MP18109/2024-2025/150115,Madhya Pradesh,SIDHI,500000.0,500000.0,498464.0,0.996928,6.0,1.0,6.0,-0.0330007576944672
WS/MP18167/2024-2025/160013,Rajasthan,JHUNJHUNU,494364.0,,55000.0,,6.0,6.0,1.0,-0.032922367939482555
WS/MP478/2025-2026/154236,Uttarakhand,TEHRI GARHWAL,100000.0,,100000.0,,6.0,6.0,1.0,-0.031360258341951774
WS/MP18109/2024-2025/146906,Madhya Pradesh,SIDHI,500000.0,500000.0,499910.0,0.99982,6.0,1.0,6.0,-0.03121476101947851
WS/MP18311/2024-2025/153881,Punjab,ANANDPUR SAHIB,500000.0,,100800.0,,6.0,6.0,1.0,-0.031200417681067516
WS/MP18155/2024-2025/141567,Punjab,HOSHIARPUR(SC),300000.0,300000.0,300000.0,1.0,8.0,3.0,2.6666666666666665,-0.02950906957863042
WS/MP640/2025-2026/158763,Madhya Pradesh,MANDLA(ST),500000.0,,499680.0,,7.0,2.0,3.5,-0.029222032759119276
WS/MP18311/2024-2025/156720,Punjab,ANANDPUR SAHIB,500000.0,,292804.0,,6.0,4.0,1.5,-0.028403504794084267
WS/MP18326/2025-2026/160194,Gujarat,SURENDRANAGAR,500000.0,,499946.0,,6.0,4.0,1.5,-0.02788998908381135
WS/MP478/2025-2026/154248,Uttarakhand,TEHRI GARHWAL,150000.0,,150000.0,,6.0,6.0,1.0,-0.027834926172578656
WS/MP18311/2025-2026/156719,Punjab,ANANDPUR SAHIB,500000.0,,394452.0,,7.0,3.0,2.333333333333333,-0.02726195384492458
WS/MP18386/2024-2025/160114,Telangana,NALGONDA,3870000.0,,3870000.0,,1.0,1.0,1.0,-0.02645599487689332
WS/MP18161/2024-2025/142585,Rajasthan,BHARATPUR(SC),298118.0,298118.0,18240.0,0.0611838265384847,5.0,5.0,1.0,-0.025884215207017336
WS/MP013/2024-2025/141727,Sikkim,SIKKIM,2931657.0,2931657.0,1994920.0,0.6804752397705461,1.0,1.0,1.0,-0.025613847124934863
WS/MP18024/2025-2026/148305,Assam,JORHAT,200000.0,200000.0,199879.0,0.999395,5.0,1.0,5.0,-0.02439119892019348
WS/MP18095/2025-2026/147281,Kerala,ALAPPUZHA,2884733.0,2884733.0,2884733.0,1.0,1.0,1.0,1.0,-0.02415082733217566
WS/MP18024/2025-2026/154708,Assam,JORHAT,198105.0,,198105.0,,5.0,1.0,5.0,-0.023994906136348026
WS/MP18353/2024-2025/138639,West Bengal,HOOGHLY,3087958.0,3087958.0,1458765.0,0.4724044174175944,1.0,1.0,1.0,-0.023989879996914265
WS/MP18337/2025-2026/156943,Kerala,ALATHUR(SC),999999.0,,999999.0,,5.0,5.0,1.0,-0.02377809835454303
WS/MP710/2025-2026/149935,Puducherry,Puducherry,2000000.0,2000000.0,591029.0,0.2955145,2.0,2.0,1.0,-0.021410968388991147
WS/MP18311/2024-2025/153620,Punjab,ANANDPUR SAHIB,700000.0,,629800.0,,6.0,3.0,2.0,-0.019645854357511428
WS/MP747/2025-2026/147477,Tamil Nadu,VIRUDHUNAGAR,2499979.0,2499979.0,2499979.0,1.0,2.0,1.0,2.0,-0.016760111036200898
WS/MP479/2024-2025/138772,West Bengal,BISHNUPUR(SC),2774787.0,2774787.0,2774787.0,1.0,1.0,1.0,1.0,-0.01575811697247209
WS/MP478/2025-2026/154203,Uttarakhand,TEHRI GARHWAL,100000.0,,99433.0,,5.0,4.0,1.25,-0.014833853987600176
WS/MP18152/2024-2025/140062,Punjab,FARIDKOT(SC),500000.0,500000.0,425000.0,0.85,7.0,3.0,2.333333333333333,-0.01450581559827091
WS/MP410/2025-2026/148376,Assam,LAKHIMPUR,1000000.0,1000000.0,999439.0,0.999439,4.0,1.0,4.0,-0.010844534816279006
WS/MP410/2025-2026/148375,Assam,LAKHIMPUR,1000000.0,1000000.0,999619.0,0.999619,4.0,1.0,4.0,-0.010572793091752741
WS/MP18209/2025-2026/144762,Uttar Pradesh,BIJNOR,1414000.0,1414000.0,1412124.0,0.9986732673267328,4.0,2.0,2.0,-0.010128100920784422
WS/MP755/2025-2026/156753,Tamil Nadu,SRIPERUMBUDUR,3708000.0,,3084454.0,,1.0,1.0,1.0,-0.009952990329216704
WS/MP410/2024-2025/148379,Assam,LAKHIMPUR,1000000.0,1000000.0,999780.0,0.99978,4.0,1.0,4.0,-0.00970265270495263
WS/MP410/2025-2026/148377,Assam,LAKHIMPUR,1000000.0,1000000.0,999847.0,0.999847,4.0,1.0,4.0,-0.00950981681680807
WS/MP351/2025-2026/150114,Kerala,KANNUR,2541665.0,2541665.0,113446.0,0.0446345210718171,1.0,1.0,1.0,-0.008351060847378022
WS/MP18058/2025-2026/158435,Gujarat,VADODARA,3300341.0,,3277725.0,,1.0,1.0,1.0,-0.00828533792788999
WS/MP18152/2024-2025/140028,Punjab,FARIDKOT(SC),400000.0,400000.0,227448.0,0.56862,5.0,2.0,2.5,-0.007533431640158628
WS/MP352/2025-2026/140054,Kerala,ERNAKULAM,2472799.0,2472799.0,72799.0,0.029439918084729,1.0,1.0,1.0,-0.007081775476322383
WS/MP18172/2024-2025/141763,Rajasthan,UDAIPUR(ST),593000.0,593000.0,400000.0,0.6745362563237775,5.0,2.0,2.5,-0.006689708223487023
WS/MP18023/2024-2025/143873,Assam,GUWAHATI,500000.0,500000.0,299879.0,0.599758,4.0,1.0,4.0,-0.006674018085713884
WS/MP18252/2025-2026/157219,West Bengal,KANTHI,3239337.0,,3239337.0,,1.0,1.0,1.0,-0.006550034252989834
WS/MP18152/2024-2025/141161,Punjab,FARIDKOT(SC),300000.0,300000.0,300000.0,1.0,6.0,5.0,1.2,-0.005826368964810369
WS/MP18313/2024-2025/141606,Rajasthan,BANSWARA(ST),1200000.0,1200000.0,1028911.0,0.8574258333333333,3.0,1.0,3.0,-0.005778927809270029
WS/MP716/2024-2025/142660,Punjab,BHATINDA,199999.0,199999.0,123022.0,0.6151130755653779,5.0,3.0,1.6666666666666667,-0.005406000222281326
WS/MP747/2024-2025/136647,Tamil Nadu,VIRUDHUNAGAR,2370415.0,2370415.0,2370415.0,1.0,2.0,1.0,2.0,-0.005283436600750813
WS/MP640/2026-2027/151611,Madhya Pradesh,MANDLA(ST),1000000.0,,878612.0,,4.0,1.0,4.0,-0.004188282599784099
WS/MP353/2024-2025/143934,Kerala,IDUKKI,2447960.0,2447960.0,140999.0,0.0575985718720894,1.0,1.0,1.0,-0.004008345902261623
WS/MP352/2025-2026/140055,Kerala,ERNAKULAM,2257000.0,2257000.0,32000.0,0.0141781125387682,1.0,1.0,1.0,-0.0026775630261517414
WS/MP18152/2024-2025/140034,Punjab,FARIDKOT(SC),200000.0,200000.0,156040.0,0.7802,5.0,3.0,1.6666666666666667,-0.0007958944029036186
